t lev
0.015625 4.000000
0.031250 4.000000
0.046875 4.000000
0.062500 4.000000
0.078125 4.000000
0.093750 4.000000
0.109375 4.000000
0.125000 4.000000
0.140625 4.000000
0.156250 4.000000
0.171875 4.000000
0.187500 4.000000
0.203125 4.000000
0.218750 4.000000
0.234375 4.000000
0.250000 4.000000
0.265625 4.000000
0.281250 4.000000
0.296875 4.000000
0.312500 4.000000
0.328125 4.000000
0.343750 4.000000
0.359375 4.000000
0.375000 4.000000
0.390625 4.000000
0.406250 4.000000
0.421875 4.000000
0.437500 4.000000
0.453125 4.000000
0.468750 4.000000
0.484375 4.000000
0.500000 4.000000
0.515625 4.000000
0.531250 4.000000
0.546875 4.000000
0.562500 4.000000
0.578125 4.000000
0.593750 4.000000
0.609375 4.000000
0.625000 4.000000
0.640625 4.000000
0.656250 4.000000
0.671875 4.000000
0.687500 4.000000
0.703125 4.000000
0.718750 4.000000
0.734375 4.000000
0.750000 4.000000
0.765625 4.000000
0.781250 4.000000
0.796875 4.000000
0.812500 4.000000
0.828125 4.000000
0.843750 4.000000
0.859375 4.000000
0.875000 4.000000
0.890625 4.000000
0.906250 4.000000
0.921875 4.000000
0.937500 4.000000
0.953125 4.000000
0.968750 4.000000
0.984375 4.000000
1.000000 4.000000
