t lev
0.015625 1.000000
0.031250 1.035714
0.046875 1.069919
0.062500 1.102680
0.078125 1.134058
0.093750 1.164108
0.109375 1.192885
0.125000 1.220438
0.140625 1.246813
0.156250 1.272054
0.171875 1.296201
0.187500 1.319293
0.203125 1.341364
0.218750 1.362450
0.234375 1.382582
0.250000 1.401789
0.265625 1.420099
0.281250 1.437540
0.296875 1.454135
0.312500 1.469908
0.328125 1.484882
0.343750 1.499078
0.359375 1.512515
0.375000 1.525213
0.390625 1.537189
0.406250 1.548460
0.421875 1.559044
0.437500 1.568955
0.453125 1.578209
0.468750 1.586820
0.484375 1.594802
0.500000 1.602169
0.515625 1.608933
0.531250 1.615109
0.546875 1.620708
0.562500 1.625744
0.578125 1.630228
0.593750 1.634173
0.609375 1.637593
0.625000 1.640499
0.640625 1.642905
0.656250 1.644823
0.671875 1.646269
0.687500 1.647255
0.703125 1.647797
0.718750 1.647909
0.734375 1.647608
0.750000 1.646911
0.765625 1.645835
0.781250 1.644400
0.796875 1.642624
0.812500 1.640528
0.828125 1.638136
0.843750 1.635470
0.859375 1.632555
0.875000 1.629417
0.890625 1.626085
0.906250 1.622587
0.921875 1.618956
0.937500 1.615223
0.953125 1.611424
0.968750 1.607595
0.984375 1.603774
1.000000 1.600000
