p ratio
0.00251522 0.0188282
0.00501518 0.0319517
0.00751514 0.0436919
0.0100151 0.0545436
0.0125151 0.0647257
0.015015 0.0743633
0.017515 0.0835391
0.0200149 0.0923121
0.0225149 0.100727
0.0250149 0.10882
0.0275148 0.116618
0.0300148 0.124148
0.0325147 0.131428
0.0350147 0.138477
0.0375146 0.145311
0.0400146 0.151942
0.0425146 0.158384
0.0450145 0.164648
0.0475145 0.170742
0.0500144 0.176677
0.0525144 0.18246
0.0550144 0.188099
0.0575143 0.193602
0.0600143 0.198973
0.0625142 0.20422
0.0650142 0.209348
0.0675142 0.214362
0.0700141 0.219267
0.0725141 0.224067
0.075014 0.228766
0.077514 0.233369
0.080014 0.237879
0.0825139 0.242299
0.0850139 0.246633
0.0875138 0.250885
0.0900138 0.255056
0.0925138 0.25915
0.0950137 0.263169
0.0975137 0.267117
0.100014 0.270994
0.102514 0.274804
0.105014 0.278549
0.107514 0.28223
0.110013 0.285851
0.112513 0.289411
0.115013 0.292914
0.117513 0.296361
0.120013 0.299754
0.122513 0.303094
0.125013 0.306383
0.127513 0.309622
0.130013 0.312812
0.132513 0.315956
0.135013 0.319053
0.137513 0.322106
0.140013 0.325116
0.142513 0.328083
0.145013 0.331009
0.147513 0.333895
0.150013 0.336741
0.152513 0.33955
0.155013 0.342321
0.157513 0.345056
0.160013 0.347755
0.162513 0.35042
0.165013 0.353051
0.167513 0.355648
0.170012 0.358214
0.172512 0.360748
0.175012 0.363251
0.177512 0.365724
0.180012 0.368167
0.182512 0.370582
0.185012 0.372968
0.187512 0.375327
0.190012 0.377659
0.192512 0.379964
0.195012 0.382244
0.197512 0.384498
0.200012 0.386727
0.202512 0.388932
0.205012 0.391113
0.207512 0.393271
0.210012 0.395406
0.212512 0.397518
0.215012 0.399609
0.217512 0.401678
0.220012 0.403725
0.222512 0.405752
0.225012 0.407759
0.227512 0.409746
0.230012 0.411713
0.232511 0.41366
0.235011 0.415589
0.237511 0.417499
0.240011 0.419391
0.242511 0.421266
0.245011 0.423122
0.247511 0.424962
0.250011 0.426784
0.252511 0.42859
0.255011 0.430379
0.257511 0.432153
0.260011 0.43391
0.262511 0.435652
0.265011 0.437379
0.267511 0.43909
0.270011 0.440787
0.272511 0.44247
0.275011 0.444138
0.277511 0.445792
0.280011 0.447432
0.282511 0.449058
0.285011 0.450672
0.287511 0.452272
0.290011 0.453859
0.292511 0.455433
0.29501 0.456995
0.29751 0.458544
0.30001 0.460082
0.30251 0.461607
0.30501 0.46312
0.30751 0.464622
0.31001 0.466112
0.31251 0.467592
0.31501 0.46906
0.31751 0.470517
0.32001 0.471963
0.32251 0.473399
0.32501 0.474824
0.32751 0.476239
0.33001 0.477644
0.33251 0.479039
0.33501 0.480424
0.33751 0.481799
0.34001 0.483165
0.34251 0.484521
0.34501 0.485868
0.34751 0.487205
0.35001 0.488534
0.35251 0.489854
0.355009 0.491165
0.357509 0.492467
0.360009 0.493761
0.362509 0.495046
0.365009 0.496323
0.367509 0.497592
0.370009 0.498853
0.372509 0.500105
0.375009 0.50135
0.377509 0.502587
0.380009 0.503816
0.382509 0.505038
0.385009 0.506253
0.387509 0.507459
0.390009 0.508659
0.392509 0.509852
0.395009 0.511037
0.397509 0.512216
0.400009 0.513387
0.402509 0.514552
0.405009 0.51571
0.407509 0.516861
0.410009 0.518006
0.412509 0.519145
0.415009 0.520277
0.417508 0.521402
0.420008 0.522522
0.422508 0.523635
0.425008 0.524742
0.427508 0.525844
0.430008 0.526939
0.432508 0.528029
0.435008 0.529113
0.437508 0.530191
0.440008 0.531263
0.442508 0.53233
0.445008 0.533392
0.447508 0.534448
0.450008 0.535499
0.452508 0.536544
0.455008 0.537584
0.457508 0.53862
0.460008 0.53965
0.462508 0.540675
0.465008 0.541695
0.467508 0.54271
0.470008 0.54372
0.472508 0.544726
0.475008 0.545727
0.477507 0.546723
0.480007 0.547715
0.482507 0.548702
0.485007 0.549684
0.487507 0.550663
0.490007 0.551636
0.492507 0.552606
0.495007 0.553571
0.497507 0.554532
0.500007 0.555489
0.502507 0.556442
0.505007 0.55739
0.507507 0.558335
0.510007 0.559276
0.512507 0.560212
0.515007 0.561145
0.517507 0.562074
0.520007 0.563
0.522507 0.563921
0.525007 0.564839
0.527507 0.565754
0.530007 0.566665
0.532507 0.567572
0.535007 0.568475
0.537507 0.569376
0.540006 0.570273
0.542506 0.571166
0.545006 0.572056
0.547506 0.572943
0.550006 0.573827
0.552506 0.574708
0.555006 0.575585
0.557506 0.576459
0.560006 0.57733
0.562506 0.578199
0.565006 0.579064
0.567506 0.579926
0.570006 0.580785
0.572506 0.581642
0.575006 0.582496
0.577506 0.583347
0.580006 0.584195
0.582506 0.58504
0.585006 0.585883
0.587506 0.586723
0.590006 0.587561
0.592506 0.588396
0.595006 0.589228
0.597506 0.590058
0.600006 0.590886
0.602505 0.591711
0.605005 0.592533
0.607505 0.593354
0.610005 0.594172
0.612505 0.594988
0.615005 0.595801
0.617505 0.596613
0.620005 0.597422
0.622505 0.598229
0.625005 0.599034
0.627505 0.599837
0.630005 0.600638
0.632505 0.601437
0.635005 0.602234
0.637505 0.603029
0.640005 0.603822
0.642505 0.604614
0.645005 0.605403
0.647505 0.606191
0.650005 0.606977
0.652505 0.607762
0.655005 0.608544
0.657505 0.609325
0.660005 0.610105
0.662504 0.610883
0.665004 0.611659
0.667504 0.612434
0.670004 0.613207
0.672504 0.613979
0.675004 0.61475
0.677504 0.615519
0.680004 0.616287
0.682504 0.617053
0.685004 0.617818
0.687504 0.618583
0.690004 0.619345
0.692504 0.620107
0.695004 0.620868
0.697504 0.621627
0.700004 0.622386
0.702504 0.623143
0.705004 0.6239
0.707504 0.624656
0.710004 0.62541
0.712504 0.626164
0.715004 0.626917
0.717504 0.627669
0.720004 0.628421
0.722504 0.629172
0.725003 0.629922
0.727503 0.630671
0.730003 0.63142
0.732503 0.632169
0.735003 0.632917
0.737503 0.633664
0.740003 0.634411
0.742503 0.635158
0.745003 0.635904
0.747503 0.63665
0.750003 0.637396
0.752503 0.638142
0.755003 0.638887
0.757503 0.639632
0.760003 0.640378
0.762503 0.641123
0.765003 0.641868
0.767503 0.642614
0.770003 0.643359
0.772503 0.644105
0.775003 0.644851
0.777503 0.645597
0.780003 0.646344
0.782503 0.647091
0.785002 0.647838
0.787502 0.648586
0.790002 0.649335
0.792502 0.650084
0.795002 0.650834
0.797502 0.651585
0.800002 0.652336
0.802502 0.653089
0.805002 0.653842
0.807502 0.654597
0.810002 0.655353
0.812502 0.656109
0.815002 0.656867
0.817502 0.657627
0.820002 0.658388
0.822502 0.65915
0.825002 0.659914
0.827502 0.66068
0.830002 0.661448
0.832502 0.662217
0.835002 0.662988
0.837502 0.663762
0.840002 0.664537
0.842502 0.665315
0.845002 0.666096
0.847501 0.666879
0.850001 0.667665
0.852501 0.668453
0.855001 0.669244
0.857501 0.670039
0.860001 0.670837
0.862501 0.671638
0.865001 0.672442
0.867501 0.673251
0.870001 0.674063
0.872501 0.674879
0.875001 0.6757
0.877501 0.676525
0.880001 0.677354
0.882501 0.678189
0.885001 0.679029
0.887501 0.679874
0.890001 0.680725
0.892501 0.681582
0.895001 0.682445
0.897501 0.683314
0.900001 0.684191
0.902501 0.685075
0.905001 0.685966
0.907501 0.686866
0.91 0.687774
0.9125 0.688691
0.915 0.689617
0.9175 0.690554
0.92 0.691501
0.9225 0.692459
0.925 0.69343
0.9275 0.694413
0.93 0.69541
0.9325 0.696421
0.935 0.697448
0.9375 0.698492
0.94 0.699553
0.9425 0.700634
0.945 0.701735
0.9475 0.702859
0.95 0.704007
0.9525 0.705182
0.955 0.706386
0.9575 0.707623
0.96 0.708895
0.9625 0.710206
0.965 0.711562
0.9675 0.712967
0.969999 0.71443
0.972499 0.715957
0.974999 0.717561
0.977499 0.719254
0.979999 0.721054
0.982499 0.722987
0.984999 0.725085
0.987499 0.727402
0.989999 0.730017
0.992499 0.733076
0.994999 0.736882
0.997499 0.742298
0.999999 0.767082
