p ratio
0.0025 0.00254493
0.005 0.00485489
0.00749999 0.00708195
0.00999999 0.00925353
0.0125 0.0113821
0.015 0.013475
0.0175 0.0155367
0.02 0.0175708
0.0225 0.0195796
0.025 0.021565
0.0275 0.0235288
0.03 0.025472
0.0325 0.0273959
0.035 0.0293013
0.0375 0.031189
0.04 0.0330598
0.0425 0.0349142
0.045 0.0367529
0.0475 0.0385764
0.05 0.040385
0.0524999 0.0421794
0.0549999 0.0439597
0.0574999 0.0457265
0.0599999 0.04748
0.0624999 0.0492206
0.0649999 0.0509485
0.0674999 0.0526641
0.0699999 0.0543677
0.0724999 0.0560594
0.0749999 0.0577395
0.0774999 0.0594082
0.0799999 0.0610658
0.0824999 0.0627124
0.0849999 0.0643484
0.0874999 0.0659737
0.0899999 0.0675888
0.0924999 0.0691936
0.0949999 0.0707884
0.0974999 0.0723734
0.0999999 0.0739486
0.1025 0.0755144
0.105 0.0770707
0.1075 0.0786179
0.11 0.0801559
0.1125 0.0816849
0.115 0.0832051
0.1175 0.0847166
0.12 0.0862195
0.1225 0.087714
0.125 0.0892001
0.1275 0.090678
0.13 0.0921478
0.1325 0.0936095
0.135 0.0950634
0.1375 0.0965094
0.14 0.0979478
0.1425 0.0993786
0.145 0.100802
0.1475 0.102218
0.15 0.103626
0.1525 0.105028
0.155 0.106422
0.1575 0.107809
0.16 0.109189
0.1625 0.110563
0.165 0.111929
0.1675 0.113289
0.17 0.114643
0.1725 0.115989
0.175 0.117329
0.1775 0.118663
0.18 0.119991
0.1825 0.121312
0.185 0.122627
0.1875 0.123936
0.19 0.125239
0.1925 0.126536
0.195 0.127827
0.1975 0.129113
0.2 0.130392
0.2025 0.131666
0.205 0.132934
0.2075 0.134196
0.21 0.135453
0.2125 0.136705
0.215 0.137951
0.2175 0.139192
0.22 0.140427
0.2225 0.141658
0.225 0.142883
0.2275 0.144103
0.23 0.145318
0.2325 0.146527
0.235 0.147732
0.2375 0.148932
0.24 0.150127
0.2425 0.151318
0.245 0.152503
0.2475 0.153684
0.25 0.15486
0.2525 0.156031
0.255 0.157198
0.2575 0.158361
0.26 0.159519
0.2625 0.160672
0.265 0.161821
0.2675 0.162966
0.27 0.164106
0.2725 0.165243
0.275 0.166374
0.2775 0.167502
0.28 0.168626
0.2825 0.169745
0.285 0.170861
0.2875 0.171972
0.29 0.17308
0.2925 0.174183
0.295 0.175283
0.2975 0.176378
0.3 0.17747
0.3025 0.178558
0.305 0.179643
0.3075 0.180724
0.31 0.1818
0.3125 0.182874
0.315 0.183944
0.3175 0.18501
0.32 0.186072
0.3225 0.187131
0.325 0.188187
0.3275 0.189239
0.33 0.190288
0.3325 0.191333
0.335 0.192375
0.3375 0.193414
0.34 0.19445
0.3425 0.195482
0.345 0.196511
0.3475 0.197537
0.35 0.19856
0.3525 0.199579
0.355 0.200596
0.3575 0.201609
0.36 0.202619
0.3625 0.203627
0.365 0.204631
0.3675 0.205633
0.37 0.206631
0.3725 0.207627
0.375 0.20862
0.3775 0.20961
0.38 0.210597
0.3825 0.211581
0.385 0.212563
0.3875 0.213542
0.39 0.214518
0.3925 0.215491
0.395 0.216462
0.3975 0.217431
0.4 0.218396
0.4025 0.219359
0.405 0.22032
0.4075 0.221278
0.41 0.222233
0.4125 0.223187
0.415 0.224137
0.4175 0.225085
0.42 0.226031
0.4225 0.226975
0.425 0.227916
0.4275 0.228855
0.43 0.229791
0.4325 0.230726
0.435 0.231658
0.4375 0.232587
0.44 0.233515
0.4425 0.23444
0.445 0.235364
0.4475 0.236285
0.45 0.237204
0.4525 0.238121
0.455 0.239036
0.4575 0.239948
0.46 0.240859
0.4625 0.241768
0.465 0.242675
0.4675 0.24358
0.47 0.244483
0.4725 0.245384
0.475 0.246283
0.4775 0.24718
0.48 0.248075
0.4825 0.248969
0.485 0.249861
0.4875 0.250751
0.49 0.251639
0.4925 0.252526
0.495 0.253411
0.4975 0.254294
0.5 0.255175
0.502499 0.256055
0.504999 0.256933
0.507499 0.25781
0.509999 0.258685
0.512499 0.259558
0.514999 0.26043
0.517499 0.2613
0.519999 0.262169
0.522499 0.263036
0.524999 0.263902
0.527499 0.264767
0.529999 0.26563
0.532499 0.266491
0.534999 0.267351
0.537499 0.26821
0.539999 0.269068
0.542499 0.269924
0.544999 0.270779
0.547499 0.271632
0.549999 0.272485
0.552499 0.273336
0.554999 0.274186
0.557499 0.275034
0.559999 0.275882
0.562499 0.276728
0.564999 0.277573
0.567499 0.278417
0.569999 0.27926
0.572499 0.280102
0.574999 0.280943
0.577499 0.281783
0.579999 0.282622
0.582499 0.28346
0.584999 0.284297
0.587499 0.285132
0.589999 0.285967
0.592499 0.286801
0.594999 0.287635
0.597499 0.288467
0.599999 0.289298
0.602499 0.290129
0.604999 0.290959
0.607499 0.291788
0.609999 0.292616
0.612499 0.293444
0.614999 0.294271
0.617499 0.295097
0.619999 0.295923
0.622499 0.296747
0.624999 0.297572
0.627499 0.298395
0.629999 0.299218
0.632499 0.300041
0.634999 0.300863
0.637499 0.301684
0.639999 0.302505
0.642499 0.303326
0.644999 0.304146
0.647499 0.304966
0.649999 0.305785
0.652499 0.306604
0.654999 0.307423
0.657499 0.308241
0.659999 0.309059
0.662499 0.309877
0.664999 0.310695
0.667499 0.311512
