t lev
0.015625 1.000003
0.031250 1.000003
0.046875 1.000036
0.062500 1.000097
0.078125 1.000224
0.093750 1.000435
0.109375 1.000809
0.125000 1.001412
0.140625 1.002462
0.156250 1.004234
0.171875 1.007049
0.187500 1.011021
0.203125 1.015955
0.218750 1.021195
0.234375 1.025618
0.250000 1.028732
0.265625 1.030799
0.281250 1.031904
0.296875 1.033024
0.312500 1.034552
0.328125 1.037564
0.343750 1.042514
0.359375 1.052582
0.375000 1.066284
0.390625 1.085054
0.406250 1.104991
0.421875 1.121719
0.437500 1.134055
0.453125 1.141587
0.468750 1.144535
0.484375 1.144761
0.500000 1.143240
0.515625 1.140703
0.531250 1.138380
0.546875 1.135570
0.562500 1.133340
0.578125 1.131861
0.593750 1.130805
0.609375 1.131997
0.625000 1.135205
0.640625 1.142193
0.656250 1.153584
0.671875 1.170703
0.687500 1.189640
0.703125 1.205685
0.718750 1.219042
0.734375 1.227169
0.750000 1.230760
0.765625 1.231728
0.781250 1.231381
0.796875 1.229854
0.812500 1.228018
0.828125 1.226232
0.843750 1.225327
0.859375 1.225976
0.875000 1.228873
0.890625 1.234920
0.906250 1.241742
0.921875 1.246130
0.937500 1.248103
0.953125 1.248360
0.968750 1.247732
0.984375 1.249485
1.000000 1.249090
