t lev
0.003906 1.011183
0.007812 1.011076
0.011719 1.016168
0.015625 1.024053
0.019531 1.037575
0.023438 1.061973
0.027344 1.093219
0.031250 1.136101
0.035156 1.188952
0.039062 1.256939
0.042969 1.343470
0.046875 1.450512
0.050781 1.579933
0.054688 1.703357
0.058594 1.798384
0.062500 1.857347
0.066406 1.880099
0.070312 1.877085
0.074219 1.860468
0.078125 1.834021
0.082031 1.805784
0.085938 1.775147
0.089844 1.744855
0.093750 1.716947
0.097656 1.690356
0.101562 1.665186
0.105469 1.644743
0.109375 1.622930
0.113281 1.600988
0.117188 1.586226
0.121094 1.570744
0.125000 1.559006
0.128906 1.552648
0.132812 1.547619
0.136719 1.563193
0.140625 1.589796
0.144531 1.643664
0.148438 1.747562
0.152344 1.879835
0.156250 2.016555
0.160156 2.147391
0.164062 2.260641
0.167969 2.325219
0.171875 2.358264
0.175781 2.367958
0.179688 2.364235
0.183594 2.357717
0.187500 2.339892
0.191406 2.324535
0.195312 2.305184
0.199219 2.284868
0.203125 2.266158
0.207031 2.247070
0.210938 2.228422
0.214844 2.210258
0.218750 2.192587
0.222656 2.175406
0.226562 2.158704
0.230469 2.142464
0.234375 2.126671
0.238281 2.111307
0.242188 2.096355
0.246094 2.081801
0.250000 2.067939
0.253906 2.053823
0.257812 2.040369
0.261719 2.027253
0.265625 2.014464
0.269531 2.001990
0.273438 1.990099
0.277344 1.977942
0.281250 1.966345
0.285156 1.955551
0.289062 1.944223
0.292969 1.933411
0.296875 1.923097
0.300781 1.912765
0.304688 1.903151
0.308594 1.893266
0.312500 1.883831
0.316406 1.873901
0.320312 1.865097
0.324219 1.856701
0.328125 1.848258
0.332031 1.839865
0.335938 1.834642
0.339844 1.831932
0.343750 1.823928
0.347656 1.826633
0.351562 1.830885
0.355469 1.849766
0.359375 1.893787
0.363281 1.951786
0.367188 2.047542
0.371094 2.145457
0.375000 2.222436
0.378906 2.288165
0.382812 2.330924
0.386719 2.351740
0.390625 2.360160
0.394531 2.369257
0.398438 2.366033
0.402344 2.364659
0.406250 2.358535
0.410156 2.354723
0.414062 2.347610
0.417969 2.341798
0.421875 2.335444
0.425781 2.328138
0.429688 2.323678
0.433594 2.317393
0.437500 2.311158
0.441406 2.304977
0.445312 2.298851
0.449219 2.292780
0.453125 2.286766
0.457031 2.280375
0.460938 2.274895
0.464844 2.269045
0.468750 2.263248
0.472656 2.257092
0.476562 2.251804
0.480469 2.246164
0.484375 2.240573
0.488281 2.235033
0.492188 2.229542
0.496094 2.224099
0.500000 2.218705
0.503906 2.213358
0.507812 2.208057
0.511719 2.202803
0.515625 2.197594
0.519531 2.192430
0.523438 2.187310
0.527344 2.182389
0.531250 2.177358
0.535156 2.172218
0.539062 2.167270
0.542969 2.162364
0.546875 2.157498
0.550781 2.152674
0.554688 2.147889
0.558594 2.143144
0.562500 2.138438
0.566406 2.133771
0.570312 2.129276
0.574219 2.124685
0.578125 2.120393
0.582031 2.115491
0.585938 2.111774
0.589844 2.107082
0.593750 2.102923
0.597656 2.098308
0.601562 2.094846
0.605469 2.091382
0.609375 2.088033
0.613281 2.083844
0.617188 2.084199
0.621094 2.085264
0.625000 2.088272
0.628906 2.099681
0.632812 2.119377
0.636719 2.147740
0.640625 2.185139
0.644531 2.213732
0.648438 2.240924
0.652344 2.255144
0.656250 2.263710
0.660156 2.267645
0.664062 2.269192
0.667969 2.272749
0.671875 2.271112
0.675781 2.271036
0.679688 2.268342
0.683594 2.267926
0.687500 2.266612
0.691406 2.265435
0.695312 2.263916
0.699219 2.262069
0.703125 2.260856
0.707031 2.259018
0.710938 2.257645
0.714844 2.256276
0.718750 2.254760
0.722656 2.253099
0.726562 2.251733
0.730469 2.250084
0.734375 2.248721
0.738281 2.247222
0.742188 2.245728
0.746094 2.244236
0.750000 2.242749
0.753906 2.241265
0.757812 2.239784
0.761719 2.238307
0.765625 2.236834
0.769531 2.235364
0.773438 2.233897
0.777344 2.232434
0.781250 2.230975
0.785156 2.229518
0.789062 2.228066
0.792969 2.226616
0.796875 2.225201
0.800781 2.223760
0.804688 2.222410
0.808594 2.220948
0.812500 2.219574
0.816406 2.218231
0.820312 2.216892
0.824219 2.215691
0.828125 2.214565
0.832031 2.213607
0.835938 2.212587
0.839844 2.212769
0.843750 2.212905
0.847656 2.214808
0.851562 2.219064
0.855469 2.222465
0.859375 2.227687
0.863281 2.230431
0.867188 2.233530
0.871094 2.234655
0.875000 2.235731
0.878906 2.236009
0.882812 2.236183
0.886719 2.236039
0.890625 2.236085
0.894531 2.235938
0.898438 2.235718
0.902344 2.235533
0.906250 2.235385
0.910156 2.235142
0.914062 2.234916
0.917969 2.234707
0.921875 2.234482
0.925781 2.234241
0.929688 2.234029
0.933594 2.233810
0.937500 2.233573
0.941406 2.233378
0.945312 2.233175
0.949219 2.233004
0.953125 2.232879
0.957031 2.232825
0.960938 2.232934
0.964844 2.233090
0.968750 2.233235
0.972656 2.233319
0.976562 2.233349
0.980469 2.233359
0.984375 2.233347
0.988281 2.233336
0.992188 2.233323
0.996094 2.233320
1.000000 2.233319
