t lev
0.015625 1.011095
0.031250 1.010842
0.046875 1.016489
0.062500 1.026710
0.078125 1.044409
0.093750 1.069482
0.109375 1.103778
0.125000 1.144754
0.140625 1.194836
0.156250 1.250120
0.171875 1.302107
0.187500 1.340648
0.203125 1.363246
0.218750 1.371871
0.234375 1.369662
0.250000 1.361406
0.265625 1.351906
0.281250 1.341924
0.296875 1.335906
0.312500 1.334639
0.328125 1.342216
0.343750 1.358675
0.359375 1.394624
0.375000 1.434931
0.390625 1.479549
0.406250 1.514963
0.421875 1.535652
0.437500 1.545945
0.453125 1.548151
0.468750 1.543383
0.484375 1.535673
0.500000 1.526013
0.515625 1.515416
0.531250 1.505906
0.546875 1.495904
0.562500 1.487090
0.578125 1.479697
0.593750 1.473200
0.609375 1.470344
0.625000 1.470709
0.640625 1.476754
0.656250 1.488816
0.671875 1.507588
0.687500 1.526640
0.703125 1.540571
0.718750 1.551147
0.734375 1.556113
0.750000 1.556609
0.765625 1.554838
0.781250 1.552056
0.796875 1.548208
0.812500 1.544156
0.828125 1.540183
0.843750 1.537021
0.859375 1.535257
0.875000 1.535525
0.890625 1.538621
0.906250 1.542431
0.921875 1.544444
0.937500 1.544792
0.953125 1.544020
0.968750 1.542709
0.984375 1.543039
1.000000 1.542496
