t gamma
0.000000 1.000000
0.015625 1.000000
0.031250 1.000000
0.046875 1.000000
0.062500 1.000000
0.078125 1.000000
0.093750 1.000000
0.109375 1.000000
0.125000 1.000000
0.140625 1.000000
0.156250 1.000000
0.171875 1.000000
0.187500 1.000000
0.203125 1.000000
0.218750 1.000000
0.234375 1.000000
0.250000 1.000000
0.265625 1.000000
0.281250 1.000000
0.296875 1.000000
0.312500 1.000000
0.328125 1.000000
0.343750 1.000000
0.359375 1.000000
0.375000 0.999983
0.390625 1.000000
0.406250 0.999917
0.421875 0.999917
0.437500 0.999783
0.453125 0.999617
0.468750 0.999217
0.484375 0.998383
0.500000 0.996667
0.515625 0.994167
0.531250 0.989617
0.546875 0.982000
0.562500 0.969267
0.578125 0.945233
0.593750 0.904067
0.609375 0.840600
0.625000 0.740683
0.640625 0.591500
0.656250 0.414450
0.671875 0.263883
0.687500 0.156983
0.703125 0.095183
0.718750 0.055717
0.734375 0.030533
0.750000 0.016600
0.765625 0.008850
0.781250 0.003850
0.796875 0.001950
0.812500 0.000933
0.828125 0.000283
0.843750 0.000100
0.859375 0.000067
0.875000 0.000000
0.890625 0.000000
0.906250 0.000000
0.921875 0.000000
0.937500 0.000000
0.953125 0.000000
0.968750 0.000000
0.984375 0.000000
