t mix true
0.000000 1.000000 1.000000
0.003906 0.992203 0.999956
0.007812 0.992203 0.999913
0.011719 0.992050 0.999820
0.015625 0.991284 0.999617
0.019531 0.989139 0.999204
0.023438 0.987454 0.998611
0.027344 0.979641 0.997422
0.031250 0.968610 0.995681
0.035156 0.951605 0.993043
0.039062 0.942260 0.989584
0.042969 0.937051 0.984688
0.046875 0.934907 0.978205
0.050781 0.932762 0.969485
0.054688 0.931230 0.959689
0.058594 0.931230 0.951245
0.062500 0.931383 0.944600
0.066406 0.930923 0.939287
0.070312 0.930923 0.935986
0.074219 0.930923 0.933902
0.078125 0.930426 0.932560
0.082031 0.930923 0.931895
0.085938 0.930923 0.931466
0.089844 0.930923 0.931223
0.093750 0.930923 0.931087
0.097656 0.930923 0.931013
0.101562 0.927937 0.930507
0.105469 0.925946 0.930175
0.109375 0.929928 0.930783
0.113281 0.926444 0.930234
0.117188 0.926444 0.930179
0.121094 0.925946 0.930100
0.125000 0.917484 0.928731
0.128906 0.911512 0.927647
0.132812 0.898073 0.924955
0.136719 0.880154 0.921354
0.140625 0.853773 0.914772
0.144531 0.811963 0.902208
0.148438 0.784090 0.883047
0.152344 0.759700 0.855610
0.156250 0.754225 0.830680
0.160156 0.744768 0.802409
0.164062 0.737800 0.777496
0.167969 0.739791 0.764813
0.171875 0.734315 0.749946
0.175781 0.733818 0.743069
0.179688 0.732822 0.738184
0.183594 0.732325 0.735369
0.187500 0.732822 0.734521
0.191406 0.731827 0.732770
0.195312 0.732325 0.732840
0.199219 0.731827 0.732107
0.203125 0.731827 0.731978
0.207031 0.731827 0.731908
0.210938 0.731827 0.731870
0.214844 0.731827 0.731850
0.218750 0.731827 0.731839
0.222656 0.731827 0.731833
0.226562 0.731827 0.731830
0.230469 0.731827 0.731829
0.234375 0.731827 0.731828
0.238281 0.731827 0.731827
0.242188 0.731827 0.731827
0.246094 0.731827 0.731827
0.250000 0.731827 0.731827
0.253906 0.731827 0.731827
0.257812 0.731827 0.731827
0.261719 0.731827 0.731827
0.265625 0.731827 0.731827
0.269531 0.731011 0.731555
0.273438 0.731827 0.731827
0.277344 0.731827 0.731827
0.281250 0.731827 0.731827
0.285156 0.731827 0.731827
0.289062 0.731827 0.731827
0.292969 0.731827 0.731827
0.296875 0.731827 0.731827
0.300781 0.731827 0.731827
0.304688 0.731827 0.731827
0.308594 0.731827 0.731827
0.312500 0.731011 0.731555
