p hbefore scorrect swrong sexpected hcorrect hwrong hexpected
0.0001 16 1.99963 2.00012 2 14 14 14
0.00260576 15.9999 1.98883 2.00374 1.99999 13.9984 14 13.9996
0.00511153 15.9996 1.97811 2.00737 1.99994 13.994 14 13.9985
0.00761729 15.999 1.96747 2.01101 1.99988 13.9869 14 13.9966
0.0101231 15.9982 1.9569 2.01466 1.99978 13.9772 14 13.9941
0.0126288 15.9973 1.94641 2.01831 1.99966 13.9653 14 13.991
0.0151346 15.9961 1.936 2.02198 1.99951 13.9511 14 13.9872
0.0176404 15.9947 1.92566 2.02565 1.99934 13.9348 14 13.9828
0.0201461 15.9931 1.9154 2.02934 1.99913 13.9165 14 13.9779
0.0226519 15.9913 1.90521 2.03303 1.99891 13.8965 14 13.9724
0.0251576 15.9892 1.89509 2.03674 1.99865 13.8746 14 13.9663
0.0276634 15.987 1.88504 2.04045 1.99837 13.8511 14 13.9597
0.0301692 15.9846 1.87506 2.04417 1.99807 13.8261 14 13.9526
0.0326749 15.9819 1.86515 2.04791 1.99774 13.7996 14 13.945
0.0351807 15.9791 1.8553 2.05165 1.99738 13.7717 14 13.9369
0.0376865 15.976 1.84553 2.0554 1.997 13.7425 14 13.9284
0.0401922 15.9728 1.83582 2.05916 1.99659 13.7121 14 13.9194
0.042698 15.9693 1.82617 2.06293 1.99616 13.6806 14 13.9099
0.0452038 15.9656 1.81659 2.06671 1.9957 13.6479 14 13.9
0.0477095 15.9618 1.80707 2.0705 1.99522 13.6142 14 13.8898
0.0502153 15.9577 1.79761 2.07431 1.99471 13.5795 14 13.8791
0.0527211 15.9535 1.78822 2.07812 1.99418 13.5439 14 13.868
0.0552268 15.949 1.77888 2.08194 1.99362 13.5075 14 13.8565
0.0577326 15.9443 1.76961 2.08577 1.99304 13.4702 14 13.8446
0.0602383 15.9395 1.76039 2.08961 1.99244 13.4321 14 13.8324
0.0627441 15.9344 1.75124 2.09346 1.99181 13.3933 14 13.8198
0.0652499 15.9292 1.74214 2.09733 1.99115 13.3539 14 13.8068
0.0677556 15.9238 1.73309 2.1012 1.99047 13.3137 14 13.7936
0.0702614 15.9181 1.72411 2.10508 1.98977 13.273 14 13.7799
0.0727672 15.9123 1.71518 2.10897 1.98904 13.2316 14 13.766
0.0752729 15.9063 1.7063 2.11288 1.98829 13.1898 14 13.7517
0.0777787 15.9001 1.69748 2.11679 1.98751 13.1474 14 13.7371
0.0802845 15.8937 1.68872 2.12072 1.98671 13.1045 14 13.7222
0.0827902 15.8871 1.68 2.12465 1.98589 13.0612 14 13.707
0.085296 15.8803 1.67134 2.1286 1.98504 13.0175 14 13.6915
0.0878018 15.8733 1.66273 2.13256 1.98417 12.9733 14 13.6757
0.0903075 15.8662 1.65417 2.13653 1.98327 12.9288 14 13.6597
0.0928133 15.8588 1.64566 2.14051 1.98235 12.8839 14 13.6433
0.095319 15.8513 1.6372 2.1445 1.98141 12.8387 14 13.6267
0.0978248 15.8436 1.62879 2.1485 1.98045 12.7932 14 13.6098
0.100331 15.8357 1.62043 2.15251 1.97946 12.7475 14 13.5926
0.102836 15.8276 1.61212 2.15653 1.97845 12.7014 14 13.5752
0.105342 15.8193 1.60386 2.16057 1.97741 12.6551 14 13.5575
0.107848 15.8108 1.59564 2.16462 1.97636 12.6085 14 13.5396
0.110354 15.8022 1.58747 2.16867 1.97527 12.5618 14 13.5214
0.112859 15.7934 1.57934 2.17274 1.97417 12.5148 14 13.503
0.115365 15.7844 1.57126 2.17682 1.97304 12.4677 14 13.4844
0.117871 15.7752 1.56323 2.18092 1.97189 12.4204 14 13.4655
0.120377 15.7658 1.55524 2.18502 1.97072 12.373 14 13.4464
0.122882 15.7562 1.54729 2.18914 1.96953 12.3254 14 13.427
0.125388 15.7465 1.53939 2.19326 1.96831 12.2776 14 13.4075
0.127894 15.7366 1.53153 2.1974 1.96707 12.2298 14 13.3877
0.1304 15.7265 1.52371 2.20155 1.96581 12.1818 14 13.3677
0.132906 15.7162 1.51594 2.20572 1.96452 12.1338 14 13.3475
0.135411 15.7057 1.5082 2.20989 1.96321 12.0857 14 13.327
0.137917 15.6951 1.50051 2.21408 1.96188 12.0375 14 13.3064
0.140423 15.6843 1.49286 2.21828 1.96053 11.9892 14 13.2856
0.142929 15.6733 1.48525 2.22249 1.95916 11.9409 14 13.2645
0.145434 15.6621 1.47768 2.22671 1.95776 11.8926 14 13.2433
0.14794 15.6507 1.47015 2.23095 1.95634 11.8442 14 13.2219
0.150446 15.6392 1.46266 2.2352 1.9549 11.7958 14 13.2002
0.152952 15.6275 1.4552 2.23946 1.95344 11.7473 14 13.1784
0.155457 15.6156 1.44779 2.24374 1.95195 11.6989 14 13.1564
