t lev
0.03125000 2.25567134
0.06250000 2.35974795
0.09375000 2.39021305
0.12500000 2.35554733
0.15625000 2.27877810
0.18750000 2.18281383
0.21875000 2.08362564
0.25000000 1.98999008
0.28125000 1.90563038
0.31250000 1.83137815
0.34375000 1.76666541
0.37500000 1.71038422
0.40625000 1.66132161
0.43750000 1.61835097
0.46875000 1.58049818
0.50000000 1.54694936
0.53125000 1.51703515
0.56250000 1.49020806
0.59375000 1.46602008
0.62500000 1.44410323
0.65625000 1.42415355
0.68750000 1.40591833
0.71875000 1.38918603
0.75000000 1.37377839
0.78125000 1.35954416
0.81250000 1.34635426
0.84375000 1.33409785
0.87500000 1.32267921
0.90625000 1.31201530
0.93750000 1.30203368
0.96875000 1.29267091
1.00000000 1.28387115
