x b0 b1 b2 b3
0 1 0 0 0
0.005 0.985075 0.0148504 7.4625e-05 1.25e-07
0.01 0.970299 0.029403 0.000297 1e-06
0.015 0.955672 0.0436601 0.000664875 3.375e-06
0.02 0.941192 0.057624 0.001176 8e-06
0.025 0.926859 0.0712969 0.00182813 1.5625e-05
0.03 0.912673 0.084681 0.002619 2.7e-05
0.035 0.898632 0.0977786 0.00354638 4.2875e-05
0.04 0.884736 0.110592 0.004608 6.4e-05
0.045 0.870984 0.123123 0.00580163 9.1125e-05
0.05 0.857375 0.135375 0.007125 0.000125
0.055 0.843909 0.147349 0.00857588 0.000166375
0.06 0.830584 0.159048 0.010152 0.000216
0.065 0.8174 0.170474 0.0118511 0.000274625
0.07 0.804357 0.181629 0.013671 0.000343
0.075 0.791453 0.192516 0.0156094 0.000421875
0.08 0.778688 0.203136 0.017664 0.000512
0.085 0.766061 0.213492 0.0198326 0.000614125
0.09 0.753571 0.223587 0.022113 0.000729
0.095 0.741218 0.233422 0.0245029 0.000857375
0.1 0.729 0.243 0.027 0.001
0.105 0.716917 0.252323 0.0296021 0.00115762
0.11 0.704969 0.261393 0.032307 0.001331
0.115 0.693154 0.270213 0.0351124 0.00152088
0.12 0.681472 0.278784 0.038016 0.001728
0.125 0.669922 0.287109 0.0410156 0.00195312
0.13 0.658503 0.295191 0.044109 0.002197
0.135 0.647215 0.303031 0.0472939 0.00246038
0.14 0.636056 0.310632 0.050568 0.002744
0.145 0.625026 0.317996 0.0539291 0.00304862
0.15 0.614125 0.325125 0.057375 0.003375
0.155 0.603351 0.332022 0.0609034 0.00372387
0.16 0.592704 0.338688 0.064512 0.004096
0.165 0.582183 0.345126 0.0681986 0.00449213
0.17 0.571787 0.351339 0.071961 0.004913
0.175 0.561516 0.357328 0.0757969 0.00535937
0.18 0.551368 0.363096 0.079704 0.005832
0.185 0.541343 0.368645 0.0836801 0.00633162
0.19 0.531441 0.373977 0.087723 0.006859
0.195 0.52166 0.379095 0.0918304 0.00741488
0.2 0.512 0.384 0.096 0.008
0.205 0.50246 0.388695 0.10023 0.00861512
0.21 0.493039 0.393183 0.104517 0.009261
0.215 0.483737 0.397465 0.10886 0.00993837
0.22 0.474552 0.401544 0.113256 0.010648
0.225 0.465484 0.405422 0.117703 0.0113906
0.23 0.456533 0.409101 0.122199 0.012167
0.235 0.447697 0.412584 0.126741 0.0129779
0.24 0.438976 0.415872 0.131328 0.013824
0.245 0.430369 0.418968 0.135957 0.0147061
0.25 0.421875 0.421875 0.140625 0.015625
0.255 0.413494 0.424594 0.145331 0.0165814
0.26 0.405224 0.427128 0.150072 0.017576
0.265 0.397065 0.429479 0.154846 0.0186096
0.27 0.389017 0.431649 0.159651 0.019683
0.275 0.381078 0.433641 0.164484 0.0207969
0.28 0.373248 0.435456 0.169344 0.021952
0.285 0.365526 0.437097 0.174228 0.0231491
0.29 0.357911 0.438567 0.179133 0.024389
0.295 0.350403 0.439867 0.184058 0.0256724
0.3 0.343 0.441 0.189 0.027
0.305 0.335702 0.441968 0.193957 0.0283726
0.31 0.328509 0.442773 0.198927 0.029791
0.315 0.321419 0.443418 0.203907 0.0312559
0.32 0.314432 0.443904 0.208896 0.032768
0.325 0.307547 0.444234 0.213891 0.0343281
0.33 0.300763 0.444411 0.218889 0.035937
0.335 0.29408 0.444436 0.223889 0.0375954
0.34 0.287496 0.444312 0.228888 0.039304
0.345 0.281011 0.444041 0.233884 0.0410636
0.35 0.274625 0.443625 0.238875 0.042875
0.355 0.268336 0.443067 0.243858 0.0447389
0.36 0.262144 0.442368 0.248832 0.046656
0.365 0.256048 0.441531 0.253794 0.0486271
0.37 0.250047 0.440559 0.258741 0.050653
0.375 0.244141 0.439453 0.263672 0.0527344
0.38 0.238328 0.438216 0.268584 0.054872
0.385 0.232608 0.43685 0.273475 0.0570666
0.39 0.226981 0.435357 0.278343 0.059319
0.395 0.221445 0.43374 0.283185 0.0616299
0.4 0.216 0.432 0.288 0.064
0.405 0.210645 0.43014 0.292785 0.0664301
0.41 0.205379 0.428163 0.297537 0.068921
0.415 0.200202 0.42607 0.302255 0.0714734
0.42 0.195112 0.423864 0.306936 0.074088
0.425 0.190109 0.421547 0.311578 0.0767656
0.43 0.185193 0.419121 0.316179 0.079507
0.435 0.180362 0.416589 0.320736 0.0823129
0.44 0.175616 0.413952 0.325248 0.085184
0.445 0.170954 0.411213 0.329712 0.0881211
0.45 0.166375 0.408375 0.334125 0.091125
0.455 0.161879 0.405439 0.338486 0.0941964
0.46 0.157464 0.402408 0.342792 0.097336
0.465 0.15313 0.399284 0.347041 0.100545
0.47 0.148877 0.396069 0.351231 0.103823
0.475 0.144703 0.392766 0.355359 0.107172
0.48 0.140608 0.389376 0.359424 0.110592
0.485 0.136591 0.385902 0.363423 0.114084
0.49 0.132651 0.382347 0.367353 0.117649
0.495 0.128788 0.378712 0.371213 0.121287
0.5 0.125 0.375 0.375 0.125
0.505 0.121287 0.371213 0.378712 0.128788
0.51 0.117649 0.367353 0.382347 0.132651
0.515 0.114084 0.363423 0.385902 0.136591
0.52 0.110592 0.359424 0.389376 0.140608
0.525 0.107172 0.355359 0.392766 0.144703
0.53 0.103823 0.351231 0.396069 0.148877
0.535 0.100545 0.347041 0.399284 0.15313
0.54 0.097336 0.342792 0.402408 0.157464
0.545 0.0941964 0.338486 0.405439 0.161879
0.55 0.091125 0.334125 0.408375 0.166375
0.555 0.0881211 0.329712 0.411213 0.170954
0.56 0.085184 0.325248 0.413952 0.175616
0.565 0.0823129 0.320736 0.416589 0.180362
0.57 0.079507 0.316179 0.419121 0.185193
0.575 0.0767656 0.311578 0.421547 0.190109
0.58 0.074088 0.306936 0.423864 0.195112
0.585 0.0714734 0.302255 0.42607 0.200202
0.59 0.068921 0.297537 0.428163 0.205379
0.595 0.0664301 0.292785 0.43014 0.210645
0.6 0.064 0.288 0.432 0.216
0.605 0.0616299 0.283185 0.43374 0.221445
0.61 0.059319 0.278343 0.435357 0.226981
0.615 0.0570666 0.273475 0.43685 0.232608
0.62 0.054872 0.268584 0.438216 0.238328
0.625 0.0527344 0.263672 0.439453 0.244141
