t lev
0.015625 1.000000
0.031250 1.000000
0.046875 1.000512
0.062500 1.001517
0.078125 1.002997
0.093750 1.004932
0.109375 1.007304
0.125000 1.010094
0.140625 1.013284
0.156250 1.016856
0.171875 1.020791
0.187500 1.025072
0.203125 1.029680
0.218750 1.034599
0.234375 1.039812
0.250000 1.045300
0.265625 1.051047
0.281250 1.057038
0.296875 1.063255
0.312500 1.069682
0.328125 1.076303
0.343750 1.083104
0.359375 1.090068
0.375000 1.097180
0.390625 1.104425
0.406250 1.111790
0.421875 1.119258
0.437500 1.126816
0.453125 1.134449
0.468750 1.142144
0.484375 1.149886
0.500000 1.157662
0.515625 1.165458
0.531250 1.173260
0.546875 1.181055
0.562500 1.188828
0.578125 1.196567
0.593750 1.204258
0.609375 1.211886
0.625000 1.219438
0.640625 1.226900
0.656250 1.234258
0.671875 1.241497
0.687500 1.248602
0.703125 1.255559
0.718750 1.262350
0.734375 1.268961
0.750000 1.275374
0.765625 1.281572
0.781250 1.287537
0.796875 1.293250
0.812500 1.298691
0.828125 1.303838
0.843750 1.308669
0.859375 1.313160
0.875000 1.317286
0.890625 1.321019
0.906250 1.324330
0.921875 1.327187
0.937500 1.329555
0.953125 1.331397
0.968750 1.332671
0.984375 1.333333
1.000000 1.333333
