x lev
0.150391 6.21755
0.15625 6.02319
0.162109 5.84278
0.167969 5.67489
0.173828 5.51825
0.179688 5.37176
0.185547 5.23448
0.191406 5.10555
0.197266 4.98424
0.203125 4.8699
0.208984 4.76194
0.214844 4.65983
0.220703 4.56313
0.226562 4.4714
0.232422 4.38427
0.238281 4.30142
0.244141 4.22252
0.25 4.1473
0.255859 4.07552
0.261719 4.00694
0.267578 3.94135
0.273438 3.87856
0.279297 3.81839
0.285156 3.76069
0.291016 3.70531
0.296875 3.6521
0.302734 3.60094
0.308594 3.55172
0.314453 3.50433
0.320312 3.45867
0.326172 3.41464
0.332031 3.37217
0.337891 3.33116
0.34375 3.29154
0.349609 3.25325
0.355469 3.21622
0.361328 3.18038
0.367188 3.14568
0.373047 3.11208
0.378906 3.07951
0.384766 3.04792
0.390625 3.01729
0.396484 2.98755
0.402344 2.95868
0.408203 2.93064
0.414062 2.90339
0.419922 2.87689
0.425781 2.85113
0.431641 2.82606
0.4375 2.80166
0.443359 2.77791
0.449219 2.75477
0.455078 2.73223
0.460938 2.71026
0.466797 2.68884
0.472656 2.66795
0.478516 2.64757
0.484375 2.62768
0.490234 2.60827
0.496094 2.58931
0.501953 2.5708
0.507812 2.55271
0.513672 2.53504
0.519531 2.51776
0.525391 2.50086
0.53125 2.48434
0.537109 2.46818
0.542969 2.45237
0.548828 2.43689
0.554688 2.42174
0.560547 2.40691
0.566406 2.39238
0.572266 2.37815
0.578125 2.36421
0.583984 2.35054
0.589844 2.33715
0.595703 2.32402
0.601562 2.31115
0.607422 2.29852
0.613281 2.28614
0.619141 2.27399
0.625 2.26206
0.630859 2.25036
0.636719 2.23887
0.642578 2.22759
0.648438 2.21652
0.654297 2.20564
0.660156 2.19496
0.666016 2.18446
0.671875 2.17415
0.677734 2.16401
0.683594 2.15405
0.689453 2.14426
0.695312 2.13463
0.701172 2.12516
0.707031 2.11585
0.712891 2.10669
0.71875 2.09768
0.724609 2.08882
0.730469 2.0801
0.736328 2.07152
0.742188 2.06307
0.748047 2.05475
0.753906 2.04657
0.759766 2.03851
0.765625 2.03057
0.771484 2.02275
0.777344 2.01505
0.783203 2.00747
0.789062 2
0.794922 1.99264
0.800781 1.98538
0.806641 1.97824
0.8125 1.97119
0.818359 1.96424
0.824219 1.9574
0.830078 1.95065
0.835938 1.94399
0.841797 1.93743
0.847656 1.93096
0.853516 1.92458
0.859375 1.91828
0.865234 1.91207
0.871094 1.90594
0.876953 1.89989
0.882812 1.89393
0.888672 1.88804
0.894531 1.88223
0.900391 1.8765
0.90625 1.87084
0.912109 1.86525
0.917969 1.85973
0.923828 1.85429
0.929688 1.84891
0.935547 1.8436
0.941406 1.83835
0.947266 1.83317
0.953125 1.82806
0.958984 1.823
0.964844 1.81801
0.970703 1.81308
0.976562 1.8082
0.982422 1.80339
0.988281 1.79863
0.994141 1.79393
1 1.78928
