x lev
0.152344 7.37953
0.160156 7.09894
0.167969 6.84221
0.175781 6.60643
0.183594 6.38909
0.191406 6.18812
0.199219 6.00173
0.207031 5.82836
0.214844 5.66671
0.222656 5.51561
0.230469 5.37405
0.238281 5.24117
0.246094 5.11618
0.253906 4.9984
0.261719 4.88722
0.269531 4.78209
0.277344 4.68254
0.285156 4.58813
0.292969 4.49847
0.300781 4.41321
0.308594 4.33203
0.316406 4.25465
0.324219 4.18081
0.332031 4.11026
0.339844 4.04279
0.347656 3.9782
0.355469 3.91632
0.363281 3.85697
0.371094 3.79999
0.378906 3.74526
0.386719 3.69264
0.394531 3.64201
0.402344 3.59326
0.410156 3.54629
0.417969 3.50099
0.425781 3.45729
0.433594 3.41509
0.441406 3.37433
0.449219 3.33493
0.457031 3.29681
0.464844 3.25993
0.472656 3.22422
0.480469 3.18962
0.488281 3.15609
0.496094 3.12358
0.503906 3.09203
0.511719 3.06141
0.519531 3.03168
0.527344 3.0028
0.535156 2.97473
0.542969 2.94744
0.550781 2.92089
0.558594 2.89506
0.566406 2.86992
0.574219 2.84544
0.582031 2.82159
0.589844 2.79836
0.597656 2.77571
0.605469 2.75362
0.613281 2.73208
0.621094 2.71106
0.628906 2.69055
0.636719 2.67053
0.644531 2.65097
0.652344 2.63187
0.660156 2.61321
0.667969 2.59497
0.675781 2.57714
0.683594 2.5597
0.691406 2.54265
0.699219 2.52596
0.707031 2.50964
0.714844 2.49365
0.722656 2.47801
0.730469 2.46269
0.738281 2.44768
0.746094 2.43298
0.753906 2.41858
0.761719 2.40446
0.769531 2.39062
0.777344 2.37705
0.785156 2.36374
0.792969 2.35069
0.800781 2.33789
0.808594 2.32532
0.816406 2.313
0.824219 2.30089
0.832031 2.28901
0.839844 2.27735
0.847656 2.26589
0.855469 2.25464
0.863281 2.24359
0.871094 2.23273
0.878906 2.22205
0.886719 2.21157
0.894531 2.20125
0.902344 2.19112
0.910156 2.18115
0.917969 2.17135
0.925781 2.16171
0.933594 2.15223
0.941406 2.1429
0.949219 2.13372
0.957031 2.12469
0.964844 2.1158
0.972656 2.10705
0.980469 2.09844
0.988281 2.08995
0.996094 2.0816
1 2.07748
