x lev
0.15625 6.78919
0.171875 6.35164
0.1875 5.97434
0.203125 5.64656
0.21875 5.35893
0.234375 5.10478
0.25 4.87852
0.265625 4.67588
0.28125 4.49333
0.296875 4.32805
0.3125 4.17769
0.328125 4.04032
0.34375 3.91434
0.359375 3.79838
0.375 3.6913
0.390625 3.59211
0.40625 3.49997
0.421875 3.41415
0.4375 3.33403
0.453125 3.25906
0.46875 3.18876
0.484375 3.1227
0.5 3.06051
0.515625 3.00186
0.53125 2.94645
0.546875 2.89403
0.5625 2.84436
0.578125 2.79723
0.59375 2.75245
0.609375 2.70984
0.625 2.66926
0.640625 2.63056
0.65625 2.59361
0.671875 2.5583
0.6875 2.52452
0.703125 2.49218
0.71875 2.46118
0.734375 2.43144
0.75 2.40288
0.765625 2.37545
0.78125 2.34906
0.796875 2.32367
0.8125 2.29922
0.828125 2.27565
0.84375 2.25293
0.859375 2.231
0.875 2.20982
0.890625 2.18936
0.90625 2.16958
0.921875 2.15045
0.9375 2.13193
0.953125 2.11401
0.96875 2.09663
0.984375 2.0798
1 2.06347
