p ratio
0.0025 0.106988
0.005 0.176902
0.00749999 0.229776
0.00999999 0.272152
0.0125 0.307361
0.015 0.337357
0.0175 0.363393
0.02 0.386321
0.0225 0.406746
0.025 0.425116
0.0275 0.441771
0.03 0.456972
0.0325 0.47093
0.035 0.48381
0.0375 0.49575
0.04 0.506864
0.0425 0.517244
0.045 0.526972
0.0475 0.536114
0.05 0.54473
0.0524999 0.552868
0.0549999 0.560574
0.0574999 0.567884
0.0599999 0.574832
0.0624999 0.581449
0.0649999 0.587759
0.0674999 0.593788
0.0699999 0.599554
0.0724999 0.605079
0.0749999 0.610377
0.0774999 0.615465
0.0799999 0.620357
0.0824999 0.625065
0.0849999 0.6296
0.0874999 0.633974
0.0899999 0.638195
0.0924999 0.642272
0.0949999 0.646215
0.0974999 0.650029
0.0999999 0.653723
0.1025 0.657302
0.105 0.660772
0.1075 0.66414
0.11 0.667409
0.1125 0.670586
0.115 0.673673
0.1175 0.676676
0.12 0.679598
0.1225 0.682443
0.125 0.685215
0.1275 0.687916
0.13 0.69055
0.1325 0.693119
0.135 0.695626
0.1375 0.698074
0.14 0.700464
0.1425 0.7028
0.145 0.705084
0.1475 0.707316
0.15 0.7095
0.1525 0.711637
0.155 0.713729
0.1575 0.715777
0.16 0.717783
0.1625 0.719748
0.165 0.721674
0.1675 0.723563
0.17 0.725414
0.1725 0.727231
0.175 0.729013
0.1775 0.730762
0.18 0.732479
0.1825 0.734165
0.185 0.73582
0.1875 0.737447
0.19 0.739045
0.1925 0.740616
0.195 0.74216
0.1975 0.743679
0.2 0.745172
0.2025 0.746641
0.205 0.748086
0.2075 0.749508
0.21 0.750907
0.2125 0.752285
0.215 0.753642
0.2175 0.754978
0.22 0.756294
0.2225 0.75759
0.225 0.758868
0.2275 0.760126
0.23 0.761367
0.2325 0.76259
0.235 0.763796
0.2375 0.764985
0.24 0.766158
0.2425 0.767314
0.245 0.768455
0.2475 0.769581
0.25 0.770692
0.2525 0.771789
0.255 0.772871
0.2575 0.77394
0.26 0.774995
0.2625 0.776037
0.265 0.777065
0.2675 0.778082
0.27 0.779086
0.2725 0.780077
0.275 0.781057
0.2775 0.782025
0.28 0.782982
0.2825 0.783928
0.285 0.784863
0.2875 0.785788
0.29 0.786702
0.2925 0.787605
0.295 0.788499
0.2975 0.789383
0.3 0.790258
0.3025 0.791123
0.305 0.791978
0.3075 0.792825
0.31 0.793663
0.3125 0.794492
0.315 0.795313
0.3175 0.796125
0.32 0.796929
0.3225 0.797725
0.325 0.798513
0.3275 0.799293
0.33 0.800066
0.3325 0.800831
0.335 0.801589
0.3375 0.802339
0.34 0.803083
0.3425 0.80382
0.345 0.804549
0.3475 0.805272
0.35 0.805989
0.3525 0.806699
0.355 0.807403
0.3575 0.8081
0.36 0.808791
0.3625 0.809476
0.365 0.810156
0.3675 0.810829
0.37 0.811497
0.3725 0.812159
0.375 0.812815
