p ratio
0.00639648 0.0338803
0.00888671 0.0387318
0.0113769 0.0431544
0.0138672 0.047273
0.0163574 0.0511597
0.0188476 0.0548608
0.0213379 0.0584079
0.0238281 0.0618241
0.0263183 0.065127
0.0288086 0.0683298
0.0312988 0.0714436
0.033789 0.0744769
0.0362793 0.0774372
0.0387695 0.0803304
0.0412597 0.0831619
0.04375 0.0859361
0.0462402 0.0886569
0.0487304 0.0913276
0.0512207 0.0939513
0.0537109 0.0965307
0.0562011 0.0990682
0.0586914 0.101566
0.0611816 0.104026
0.0636718 0.106449
0.066162 0.108839
0.0686523 0.111195
0.0711425 0.11352
0.0736327 0.115814
0.076123 0.11808
0.0786132 0.120317
0.0811034 0.122527
0.0835937 0.124711
0.0860839 0.126869
0.0885741 0.129003
0.0910644 0.131114
0.0935546 0.133201
0.0960448 0.135266
0.0985351 0.137309
0.101025 0.139332
0.103516 0.141334
0.106006 0.143316
0.108496 0.145279
0.110986 0.147222
0.113476 0.149148
0.115967 0.151055
0.118457 0.152945
0.120947 0.154818
0.123437 0.156674
0.125928 0.158514
0.128418 0.160338
0.130908 0.162146
0.133398 0.163939
0.135889 0.165717
0.138379 0.16748
0.140869 0.169229
0.143359 0.170964
0.145849 0.172686
0.14834 0.174393
0.15083 0.176088
0.15332 0.177769
0.15581 0.179438
0.158301 0.181094
0.160791 0.182738
0.163281 0.18437
0.165771 0.18599
0.168262 0.187598
0.170752 0.189195
0.173242 0.190781
0.175732 0.192355
0.178222 0.193919
0.180713 0.195472
0.183203 0.197014
0.185693 0.198547
0.188183 0.200069
0.190674 0.201581
0.193164 0.203083
0.195654 0.204575
0.198144 0.206058
0.200635 0.207531
0.203125 0.208995
0.205615 0.21045
0.208105 0.211896
0.210595 0.213333
0.213086 0.214762
0.215576 0.216181
0.218066 0.217593
0.220556 0.218996
0.223047 0.22039
0.225537 0.221777
0.228027 0.223155
0.230517 0.224526
0.233008 0.225888
0.235498 0.227243
0.237988 0.228591
0.240478 0.229931
0.242969 0.231263
0.245459 0.232589
0.247949 0.233907
0.250439 0.235218
0.252929 0.236521
0.25542 0.237818
0.25791 0.239109
0.2604 0.240392
0.26289 0.241669
0.265381 0.242939
0.267871 0.244202
0.270361 0.245459
0.272851 0.24671
0.275342 0.247955
0.277832 0.249193
0.280322 0.250426
0.282812 0.251652
0.285302 0.252872
0.287793 0.254086
0.290283 0.255295
0.292773 0.256498
0.295263 0.257695
0.297754 0.258886
0.300244 0.260072
0.302734 0.261252
0.305224 0.262427
0.307715 0.263597
0.310205 0.264761
0.312695 0.26592
0.315185 0.267074
0.317675 0.268223
0.320166 0.269366
0.322656 0.270505
0.325146 0.271639
0.327636 0.272767
0.330127 0.273891
0.332617 0.27501
0.335107 0.276125
0.337597 0.277234
0.340088 0.278339
0.342578 0.27944
0.345068 0.280536
0.347558 0.281627
0.350048 0.282714
0.352539 0.283797
0.355029 0.284875
0.357519 0.285949
0.360009 0.287019
0.3625 0.288084
0.36499 0.289146
0.36748 0.290203
0.36997 0.291256
0.372461 0.292305
0.374951 0.29335
0.377441 0.294392
0.379931 0.295429
0.382421 0.296462
0.384912 0.297492
0.387402 0.298518
0.389892 0.29954
0.392382 0.300558
0.394873 0.301573
0.397363 0.302584
0.399853 0.303592
0.402343 0.304596
0.404834 0.305596
0.407324 0.306593
0.409814 0.307587
0.412304 0.308577
0.414795 0.309564
0.417285 0.310548
0.419775 0.311528
0.422265 0.312505
0.424755 0.313479
0.427246 0.314449
0.429736 0.315417
0.432226 0.316381
0.434716 0.317342
0.437207 0.3183
0.439697 0.319255
0.442187 0.320207
0.444677 0.321157
0.447168 0.322103
0.449658 0.323046
0.452148 0.323987
0.454638 0.324924
0.457128 0.325859
0.459619 0.326791
0.462109 0.327721
0.464599 0.328647
0.467089 0.329571
0.46958 0.330492
0.47207 0.331411
0.47456 0.332327
0.47705 0.333241
0.479541 0.334152
0.482031 0.33506
0.484521 0.335966
0.487011 0.336869
0.489501 0.337771
0.491992 0.338669
0.494482 0.339565
0.496972 0.340459
0.499462 0.341351
0.501953 0.34224
0.504443 0.343127
0.506933 0.344012
0.509423 0.344895
0.511914 0.345775
0.514404 0.346653
0.516894 0.34753
0.519384 0.348404
0.521874 0.349276
0.524365 0.350145
0.526855 0.351013
0.529345 0.351879
0.531835 0.352743
0.534326 0.353605
0.536816 0.354465
0.539306 0.355323
0.541796 0.356179
0.544287 0.357033
0.546777 0.357885
0.549267 0.358736
0.551757 0.359585
0.554247 0.360432
0.556738 0.361277
0.559228 0.362121
0.561718 0.362963
0.564208 0.363803
0.566699 0.364642
0.569189 0.365479
0.571679 0.366314
0.574169 0.367148
0.57666 0.36798
0.57915 0.368811
0.58164 0.36964
0.58413 0.370468
0.586621 0.371294
0.589111 0.372119
0.591601 0.372942
0.594091 0.373764
0.596581 0.374585
0.599072 0.375405
0.601562 0.376223
0.604052 0.37704
