t lev
0.003906 1.000000
0.007812 1.000000
0.011719 1.000001
0.015625 1.000001
0.019531 1.000002
0.023438 1.000005
0.027344 1.000009
0.031250 1.000017
0.035156 1.000031
0.039062 1.000057
0.042969 1.000102
0.046875 1.000183
0.050781 1.000334
0.054688 1.000606
0.058594 1.001082
0.062500 1.001883
0.066406 1.003108
0.070312 1.004760
0.074219 1.006669
0.078125 1.008463
0.082031 1.009880
0.085938 1.010772
0.089844 1.011204
0.093750 1.011310
0.097656 1.011199
0.101562 1.010964
0.105469 1.010696
0.109375 1.010376
0.113281 1.010041
0.117188 1.009764
0.121094 1.009484
0.125000 1.009241
0.128906 1.009058
0.132812 1.008897
0.136719 1.008942
0.140625 1.009126
0.144531 1.009677
0.148438 1.011056
0.152344 1.013637
0.156250 1.017953
0.160156 1.025166
0.164062 1.036036
0.167969 1.048806
0.171875 1.061581
0.175781 1.072150
0.179688 1.079662
0.183594 1.084673
0.187500 1.086814
0.191406 1.087781
0.195312 1.087493
0.199219 1.086562
0.203125 1.085448
0.207031 1.084116
0.210938 1.082722
0.214844 1.081316
0.218750 1.079927
0.222656 1.078568
0.226562 1.077245
0.230469 1.075961
0.234375 1.074717
0.238281 1.073512
0.242188 1.072344
0.246094 1.071213
0.250000 1.070139
0.253906 1.069052
0.257812 1.068020
0.261719 1.067019
0.265625 1.066046
0.269531 1.065102
0.273438 1.064204
0.277344 1.063291
0.281250 1.062423
0.285156 1.061617
0.289062 1.060775
0.292969 1.059975
0.296875 1.059213
0.300781 1.058453
0.304688 1.057747
0.308594 1.057025
0.312500 1.056337
0.316406 1.055616
0.320312 1.054978
0.324219 1.054371
0.328125 1.053762
0.332031 1.053164
0.335938 1.052792
0.339844 1.052603
0.343750 1.052017
0.347656 1.052264
0.351562 1.052602
0.355469 1.054168
0.359375 1.057969
0.363281 1.063943
0.367188 1.075881
0.371094 1.094106
0.375000 1.116468
0.378906 1.142982
0.382812 1.167434
0.386719 1.185788
0.390625 1.197934
0.394531 1.207203
0.398438 1.210775
0.402344 1.213106
0.406250 1.213039
0.410156 1.212928
0.414062 1.211523
0.417969 1.210252
0.421875 1.208715
0.425781 1.206859
0.429688 1.205743
0.433594 1.204121
0.437500 1.202510
0.441406 1.200917
0.445312 1.199346
0.449219 1.197797
0.453125 1.196271
0.457031 1.194654
0.460938 1.193286
0.464844 1.191827
0.468750 1.190390
0.472656 1.188868
0.476562 1.187579
0.480469 1.186205
0.484375 1.184851
0.488281 1.183516
0.492188 1.182201
0.496094 1.180904
0.500000 1.179626
0.503906 1.178365
0.507812 1.177122
0.511719 1.175897
0.515625 1.174688
0.519531 1.173495
0.523438 1.172319
0.527344 1.171208
0.531250 1.170063
0.535156 1.168885
0.539062 1.167771
0.542969 1.166670
0.546875 1.165585
0.550781 1.164513
0.554688 1.163455
0.558594 1.162411
0.562500 1.161379
0.566406 1.160361
0.570312 1.159398
0.574219 1.158405
0.578125 1.157505
0.582031 1.156416
0.585938 1.155696
0.589844 1.154672
0.593750 1.153814
0.597656 1.152815
0.601562 1.152183
0.605469 1.151535
0.609375 1.150908
0.613281 1.150044
0.617188 1.150581
0.621094 1.151365
0.625000 1.152820
0.628906 1.157038
0.632812 1.164454
0.636719 1.176978
0.640625 1.196064
0.644531 1.217299
0.648438 1.241561
0.652344 1.259451
0.656250 1.272491
0.660156 1.280511
0.664062 1.285120
0.667969 1.289724
0.671875 1.289947
0.675781 1.290648
0.679688 1.289250
0.683594 1.289197
0.687500 1.288428
0.691406 1.287691
0.695312 1.286694
0.699219 1.285465
0.703125 1.284655
0.707031 1.283428
0.710938 1.282514
0.714844 1.281603
0.718750 1.280598
0.722656 1.279504
0.726562 1.278607
0.730469 1.277530
0.734375 1.276644
0.738281 1.275673
0.742188 1.274709
0.746094 1.273752
0.750000 1.272801
0.753906 1.271857
0.757812 1.270920
0.761719 1.269989
0.765625 1.269064
0.769531 1.268146
0.773438 1.267234
0.777344 1.266328
0.781250 1.265428
0.785156 1.264534
0.789062 1.263647
0.792969 1.262765
0.796875 1.261922
0.800781 1.261052
0.804688 1.260283
0.808594 1.259393
0.812500 1.258601
0.816406 1.257843
0.820312 1.257088
0.824219 1.256486
0.828125 1.255948
0.832031 1.255606
0.835938 1.255160
0.839844 1.256056
0.843750 1.256892
0.847656 1.259751
0.851562 1.265568
0.855469 1.271104
0.859375 1.280235
0.863281 1.287064
0.867188 1.294785
0.871094 1.298924
0.875000 1.302370
0.878906 1.303891
0.882812 1.304823
0.886719 1.304928
0.890625 1.305208
0.894531 1.305044
0.898438 1.304696
0.902344 1.304382
0.906250 1.304113
0.910156 1.303667
0.914062 1.303248
0.917969 1.302858
0.921875 1.302437
0.925781 1.301990
0.929688 1.301596
0.933594 1.301204
0.937500 1.300765
0.941406 1.300447
0.945312 1.300120
0.949219 1.299917
0.953125 1.299894
0.957031 1.300159
0.960938 1.301070
0.964844 1.302196
0.968750 1.303410
0.972656 1.304297
0.976562 1.304760
0.980469 1.304974
0.984375 1.304968
0.988281 1.304918
0.992188 1.304823
0.996094 1.304965
1.000000 1.304931
