t lev
0.015625 1.043696
0.031250 1.042089
0.046875 1.061760
0.062500 1.095872
0.078125 1.151541
0.093750 1.224551
0.109375 1.319132
0.125000 1.424833
0.140625 1.542659
0.156250 1.652758
0.171875 1.735363
0.187500 1.779981
0.203125 1.794422
0.218750 1.789271
0.234375 1.770735
0.250000 1.747036
0.265625 1.726811
0.281250 1.708605
0.296875 1.702971
0.312500 1.710266
0.328125 1.739281
0.343750 1.786147
0.359375 1.868359
0.375000 1.941251
0.390625 2.008540
0.406250 2.052179
0.421875 2.071197
0.437500 2.077340
0.453125 2.074608
0.468750 2.063642
0.484375 2.050064
0.500000 2.034514
0.515625 2.018018
0.531250 2.003776
0.546875 1.988710
0.562500 1.975761
0.578125 1.965272
0.593750 1.956402
0.609375 1.954084
0.625000 1.957340
0.640625 1.969933
0.656250 1.990549
0.671875 2.016882
0.687500 2.038365
0.703125 2.050874
0.718750 2.059851
0.734375 2.063379
0.750000 2.062961
0.765625 2.060984
0.781250 2.058494
0.796875 2.055084
0.812500 2.051580
0.828125 2.048156
0.843750 2.045451
0.859375 2.043974
0.875000 2.044275
0.890625 2.046887
0.906250 2.049260
0.921875 2.050211
0.937500 2.050348
0.953125 2.050078
0.968750 2.049659
0.984375 2.049606
1.000000 2.049572
