t lev
0.003906 1.002807
0.007812 1.002790
0.011719 1.004113
0.015625 1.006202
0.019531 1.009919
0.023438 1.016961
0.027344 1.026918
0.031250 1.041802
0.035156 1.061405
0.039062 1.086485
0.042969 1.117686
0.046875 1.157388
0.050781 1.210758
0.054688 1.272000
0.058594 1.330804
0.062500 1.377462
0.066406 1.405642
0.070312 1.417107
0.074219 1.417418
0.078125 1.409523
0.082031 1.398310
0.085938 1.384675
0.089844 1.370443
0.093750 1.356720
0.097656 1.343478
0.101562 1.330883
0.105469 1.319940
0.109375 1.308900
0.113281 1.298137
0.117188 1.289708
0.121094 1.281345
0.125000 1.274287
0.128906 1.269055
0.132812 1.264470
0.136719 1.266187
0.140625 1.271737
0.144531 1.286797
0.148438 1.320941
0.152344 1.372827
0.156250 1.437707
0.160156 1.512110
0.164062 1.586018
0.167969 1.637808
0.171875 1.670180
0.175781 1.685827
0.179688 1.690421
0.183594 1.690632
0.187500 1.683041
0.191406 1.675594
0.195312 1.665403
0.199219 1.654362
0.203125 1.643996
0.207031 1.633365
0.210938 1.622953
0.214844 1.612811
0.218750 1.602957
0.222656 1.593397
0.226562 1.584125
0.230469 1.575133
0.234375 1.566411
0.238281 1.557948
0.242188 1.549734
0.246094 1.541757
0.250000 1.534118
0.253906 1.526480
0.257812 1.519159
0.261719 1.512039
0.265625 1.505111
0.269531 1.498369
0.273438 1.491902
0.277344 1.485411
0.281250 1.479181
0.285156 1.473293
0.289062 1.467281
0.292969 1.461506
0.296875 1.455960
0.300781 1.450461
0.304688 1.445262
0.308594 1.440019
0.312500 1.434980
0.316406 1.429816
0.320312 1.425085
0.324219 1.420537
0.328125 1.416014
0.332031 1.411561
0.335938 1.408234
0.339844 1.405814
0.343750 1.401556
0.347656 1.401179
0.351562 1.401328
0.355469 1.406965
0.359375 1.422284
0.363281 1.445084
0.367188 1.487795
0.371094 1.541520
0.375000 1.593546
0.378906 1.643857
0.382812 1.681324
0.386719 1.703494
0.390625 1.715015
0.394531 1.724263
0.398438 1.724335
0.402344 1.724285
0.406250 1.720667
0.410156 1.718005
0.414062 1.713142
0.417969 1.708936
0.421875 1.704353
0.425781 1.699188
0.429688 1.695710
0.433594 1.691160
0.437500 1.686657
0.441406 1.682205
0.445312 1.677808
0.449219 1.673465
0.453125 1.669177
0.457031 1.664690
0.460938 1.660757
0.464844 1.656628
0.468750 1.652549
0.472656 1.648283
0.476562 1.644540
0.480469 1.640610
0.484375 1.636727
0.488281 1.632891
0.492188 1.629102
0.496094 1.625357
0.500000 1.621657
0.503906 1.618000
0.507812 1.614386
0.511719 1.610814
0.515625 1.607283
0.519531 1.603793
0.523438 1.600343
0.527344 1.597011
0.531250 1.593638
0.535156 1.590227
0.539062 1.586929
0.542969 1.583669
0.546875 1.580444
0.550781 1.577255
0.554688 1.574100
0.558594 1.570980
0.562500 1.567894
0.566406 1.564841
0.570312 1.561888
0.574219 1.558899
0.578125 1.556073
0.582031 1.552954
0.585938 1.550441
0.589844 1.547450
0.593750 1.544739
0.597656 1.541811
0.601562 1.539480
0.605469 1.537144
0.609375 1.534862
0.613281 1.532195
0.617188 1.531805
0.621094 1.531811
0.625000 1.532871
0.628906 1.538309
0.632812 1.548569
0.636719 1.565584
0.640625 1.590839
0.644531 1.615724
0.648438 1.642118
0.652344 1.659232
0.656250 1.670675
0.660156 1.676897
0.664062 1.679911
0.667969 1.683619
0.671875 1.682568
0.675781 1.682406
0.679688 1.679927
0.683594 1.679164
0.687500 1.677612
0.691406 1.676135
0.695312 1.674370
0.699219 1.672337
0.703125 1.670812
0.707031 1.668791
0.710938 1.667146
0.714844 1.665509
0.718750 1.663759
0.722656 1.661902
0.726562 1.660285
0.730469 1.658449
0.734375 1.656846
0.738281 1.655141
0.742188 1.653445
0.746094 1.651757
0.750000 1.650079
0.753906 1.648409
0.757812 1.646748
0.761719 1.645095
0.765625 1.643450
0.769531 1.641814
0.773438 1.640186
0.777344 1.638567
0.781250 1.636955
0.785156 1.635352
0.789062 1.633757
0.792969 1.632169
0.796875 1.630620
0.800781 1.629049
0.804688 1.627573
0.808594 1.625990
0.812500 1.624498
0.816406 1.623040
0.820312 1.621589
0.824219 1.620281
0.828125 1.619037
0.832031 1.617975
0.835938 1.616830
0.839844 1.616913
0.843750 1.616952
0.847656 1.618841
0.851562 1.623395
0.855469 1.627606
0.859375 1.634844
0.863281 1.639887
0.867188 1.645626
0.871094 1.648389
0.875000 1.650682
0.878906 1.651471
0.882812 1.651849
0.886719 1.651593
0.890625 1.651517
0.894531 1.651094
0.898438 1.650530
0.902344 1.650000
0.906250 1.649513
0.910156 1.648881
0.914062 1.648273
0.917969 1.647689
0.921875 1.647081
0.925781 1.646451
0.929688 1.645865
0.933594 1.645278
0.937500 1.644655
0.941406 1.644124
0.945312 1.643585
0.949219 1.643137
0.953125 1.642820
0.957031 1.642714
0.960938 1.643080
0.964844 1.643623
0.968750 1.644255
0.972656 1.644696
0.976562 1.644877
0.980469 1.644915
0.984375 1.644818
0.988281 1.644701
0.992188 1.644559
0.996094 1.644571
1.000000 1.644526
