t gamma
0.000000 1.000000
0.000977 1.000000
0.001953 1.000000
0.002930 1.000000
0.003906 1.000000
0.004883 1.000000
0.005859 1.000000
0.006836 1.000000
0.007812 1.000000
0.008789 1.000000
0.009766 1.000000
0.010742 1.000000
0.011719 1.000000
0.012695 1.000000
0.013672 1.000000
0.014648 1.000000
0.015625 1.000000
0.016602 1.000000
0.017578 1.000000
0.018555 1.000000
0.019531 1.000000
0.020508 1.000000
0.021484 1.000000
0.022461 1.000000
0.023438 1.000000
0.024414 1.000000
0.025391 1.000000
0.026367 1.000000
0.027344 1.000000
0.028320 1.000000
0.029297 1.000000
0.030273 1.000000
0.031250 1.000000
0.032227 1.000000
0.033203 1.000000
0.034180 1.000000
0.035156 1.000000
0.036133 1.000000
0.037109 1.000000
0.038086 1.000000
0.039062 1.000000
0.040039 1.000000
0.041016 1.000000
0.041992 1.000000
0.042969 1.000000
0.043945 1.000000
0.044922 1.000000
0.045898 1.000000
0.046875 1.000000
0.047852 1.000000
0.048828 1.000000
0.049805 1.000000
0.050781 1.000000
0.051758 1.000000
0.052734 1.000000
0.053711 1.000000
0.054688 1.000000
0.055664 1.000000
0.056641 1.000000
0.057617 1.000000
0.058594 1.000000
0.059570 1.000000
0.060547 1.000000
0.061523 1.000000
0.062500 1.000000
0.063477 1.000000
0.064453 1.000000
0.065430 1.000000
0.066406 1.000000
0.067383 1.000000
0.068359 1.000000
0.069336 1.000000
0.070312 1.000000
0.071289 1.000000
0.072266 1.000000
0.073242 1.000000
0.074219 1.000000
0.075195 1.000000
0.076172 1.000000
0.077148 1.000000
0.078125 1.000000
0.079102 1.000000
0.080078 1.000000
0.081055 1.000000
0.082031 1.000000
0.083008 1.000000
0.083984 1.000000
0.084961 1.000000
0.085938 1.000000
0.086914 1.000000
0.087891 1.000000
0.088867 1.000000
0.089844 1.000000
0.090820 1.000000
0.091797 1.000000
0.092773 1.000000
0.093750 1.000000
0.094727 1.000000
0.095703 1.000000
0.096680 1.000000
0.097656 1.000000
0.098633 1.000000
0.099609 1.000000
0.100586 1.000000
0.101562 1.000000
