t mix true
0.000000 0.999675 1.000000
0.000732 0.996587 0.999230
0.005615 0.993662 0.993864
0.010498 0.993657 0.993662
0.015381 0.993662 0.993662
0.016846 0.977735 0.987591
0.021729 0.961798 0.962105
0.026611 0.961798 0.961798
0.031494 0.961798 0.961798
0.036377 0.961798 0.961798
0.041260 0.961798 0.961798
0.046143 0.961798 0.961798
0.051025 0.961798 0.961798
0.055908 0.961798 0.961798
0.060791 0.961798 0.961798
0.065674 0.961798 0.961798
0.070557 0.910565 0.933748
0.075439 0.859333 0.859684
0.080322 0.859333 0.859333
0.085205 0.859333 0.859333
0.090088 0.859333 0.859333
0.094971 0.859333 0.859333
0.099854 0.859333 0.859333
0.104736 0.859333 0.859333
0.109619 0.859333 0.859333
0.114502 0.859333 0.859333
0.119385 0.859333 0.859333
0.124268 0.859333 0.859333
0.129150 0.859333 0.859333
0.134033 0.859333 0.859333
0.138916 0.859333 0.859333
0.143799 0.859333 0.859333
0.148682 0.859333 0.859333
0.153564 0.859333 0.859333
0.158447 0.859333 0.859333
0.163330 0.859333 0.859333
0.168213 0.859333 0.859333
0.173096 0.859333 0.859333
0.177979 0.859333 0.859333
0.182861 0.859333 0.859333
0.187744 0.859333 0.859333
0.191406 0.754607 0.788721
0.196289 0.649882 0.650193
0.201172 0.649882 0.649882
0.206055 0.649882 0.649882
0.210938 0.649882 0.649882
0.215820 0.649882 0.649882
0.220703 0.649882 0.649882
0.225586 0.649882 0.649882
0.230469 0.649882 0.649882
0.235352 0.649882 0.649882
0.240234 0.649882 0.649882
0.245117 0.649882 0.649882
0.250000 0.649882 0.649882
0.254883 0.649882 0.649882
0.259766 0.649882 0.649882
0.264648 0.649882 0.649882
0.269531 0.649882 0.649882
0.274414 0.649882 0.649882
0.279297 0.649882 0.649882
0.284180 0.649882 0.649882
0.289062 0.649882 0.649882
0.293945 0.649882 0.649882
0.298828 0.649882 0.649882
0.303711 0.649882 0.649882
0.308594 0.649882 0.649882
0.313477 0.649882 0.649882
0.318359 0.649882 0.649882
0.323242 0.649882 0.649882
0.328125 0.649882 0.649882
0.333008 0.649882 0.649882
0.337891 0.649882 0.649882
0.342773 0.649882 0.649882
0.347656 0.649882 0.649882
0.352539 0.649882 0.649882
0.357422 0.649882 0.649882
0.362305 0.649882 0.649882
0.367188 0.649882 0.649882
0.372070 0.649882 0.649882
0.376953 0.649882 0.649882
0.381836 0.649882 0.649882
0.384766 0.512653 0.544375
0.389648 0.375561 0.375762
0.394531 0.375515 0.375515
0.399414 0.375515 0.375515
