p lcorrect lwrong lexpected
0.0001 1.00012 0.999878 1
0.00260576 1.00396 0.996195 1.00007
0.00511153 1.00821 0.992385 1.00028
0.00761729 1.01286 0.988451 1.00062
0.0101231 1.01792 0.984393 1.00108
0.0126288 1.02339 0.980212 1.00168
0.0151346 1.02925 0.975911 1.0024
0.0176404 1.0355 0.971491 1.00325
0.0201461 1.04215 0.966952 1.00422
0.0226519 1.04918 0.962297 1.0053
0.0251576 1.0566 0.957526 1.00651
0.0276634 1.0644 0.952641 1.00784
0.0301692 1.07258 0.947644 1.00928
0.0326749 1.08114 0.942534 1.01083
0.0351807 1.09006 0.937314 1.0125
0.0376865 1.09936 0.931986 1.01428
0.0401922 1.10903 0.926549 1.01616
0.042698 1.11906 0.921006 1.01816
0.0452038 1.12945 0.915357 1.02026
0.0477095 1.1402 0.909604 1.02247
0.0502153 1.1513 0.903748 1.02477
0.0527211 1.16277 0.89779 1.02718
0.0552268 1.17458 0.891732 1.0297
0.0577326 1.18674 0.885574 1.03231
0.0602383 1.19925 0.879318 1.03501
0.0627441 1.2121 0.872964 1.03782
0.0652499 1.22529 0.866514 1.04072
0.0677556 1.23882 0.859969 1.04371
0.0702614 1.25269 0.85333 1.0468
0.0727672 1.2669 0.846599 1.04997
0.0752729 1.28144 0.839775 1.05324
0.0777787 1.2963 0.832861 1.0566
0.0802845 1.3115 0.825858 1.06004
0.0827902 1.32703 0.818765 1.06357
0.085296 1.34288 0.811585 1.06719
0.0878018 1.35905 0.804319 1.07089
0.0903075 1.37554 0.796966 1.07467
0.0928133 1.39235 0.78953 1.07854
0.095319 1.40948 0.78201 1.08249
0.0978248 1.42692 0.774407 1.08651
0.100331 1.44468 0.766723 1.09062
0.102836 1.46275 0.758958 1.09481
0.105342 1.48113 0.751113 1.09907
0.107848 1.49982 0.74319 1.10341
0.110354 1.51881 0.735189 1.10782
0.112859 1.53811 0.727111 1.11231
0.115365 1.55772 0.718957 1.11687
0.117871 1.57762 0.710728 1.1215
0.120377 1.59783 0.702425 1.12621
0.122882 1.61834 0.694049 1.13099
0.125388 1.63914 0.6856 1.13583
0.127894 1.66024 0.67708 1.14075
0.1304 1.68163 0.66849 1.14573
0.132906 1.70332 0.65983 1.15078
0.135411 1.7253 0.651101 1.1559
0.137917 1.74757 0.642304 1.16108
0.140423 1.77013 0.633439 1.16633
0.142929 1.79298 0.624509 1.17165
0.145434 1.81612 0.615513 1.17702
0.14794 1.83954 0.606452 1.18246
0.150446 1.86325 0.597328 1.18796
0.152952 1.88724 0.588141 1.19353
0.155457 1.91151 0.578891 1.19915
0.157963 1.93607 0.56958 1.20483
0.160469 1.9609 0.560208 1.21058
0.162975 1.98602 0.550776 1.21638
0.16548 2.01141 0.541285 1.22224
0.167986 2.03708 0.531736 1.22815
0.170492 2.06303 0.522129 1.23413
0.172998 2.08925 0.512465 1.24016
0.175504 2.11575 0.502746 1.24624
0.178009 2.14252 0.492971 1.25238
0.180515 2.16956 0.483141 1.25857
0.183021 2.19688 0.473257 1.26482
0.185527 2.22446 0.46332 1.27112
0.188032 2.25232 0.453331 1.27748
0.190538 2.28045 0.44329 1.28388
0.193044 2.30884 0.433198 1.29034
0.19555 2.33751 0.423056 1.29685
0.198055 2.36644 0.412864 1.3034
0.200561 2.39564 0.402623 1.31001
0.203067 2.4251 0.392333 1.31667
0.205573 2.45483 0.381996 1.32337
0.208078 2.48483 0.371613 1.33013
0.210584 2.51509 0.361182 1.33693
0.21309 2.54561 0.350707 1.34378
0.215596 2.5764 0.340186 1.35068
0.218102 2.60744 0.329621 1.35762
0.220607 2.63876 0.319012 1.36461
0.223113 2.67033 0.30836 1.37164
0.225619 2.70216 0.297666 1.37872
0.228125 2.73426 0.28693 1.38585
0.23063 2.76661 0.276153 1.39302
0.233136 2.79922 0.265336 1.40023
