p hbefore scorrect swrong sexpected hcorrect hwrong hexpected
0.0001 16 0.999878 1.00012 1 15 15 15
0.00260576 15.9999 0.996267 1.00374 0.999995 14.9997 15 14.9999
0.00511153 15.9997 0.992666 1.00737 0.999981 14.9989 15 14.9994
0.00761729 15.9993 0.989074 1.01101 0.999958 14.9975 15 14.9988
0.0101231 15.9988 0.985491 1.01466 0.999926 14.9957 15 14.9978
0.0126288 15.9982 0.981916 1.01831 0.999885 14.9933 15 14.9966
0.0151346 15.9974 0.97835 1.02198 0.999835 14.9904 15 14.9951
0.0176404 15.9964 0.974793 1.02565 0.999776 14.987 15 14.9934
0.0201461 15.9953 0.971245 1.02934 0.999708 14.9831 15 14.9914
0.0226519 15.9941 0.967706 1.03303 0.99963 14.9788 15 14.9892
0.0251576 15.9927 0.964175 1.03674 0.999544 14.974 15 14.9866
0.0276634 15.9912 0.960653 1.04045 0.999449 14.9687 15 14.9839
0.0301692 15.9895 0.957139 1.04417 0.999344 14.9629 15 14.9809
0.0326749 15.9877 0.953634 1.04791 0.99923 14.9567 15 14.9776
0.0351807 15.9857 0.950138 1.05165 0.999108 14.95 15 14.9741
0.0376865 15.9836 0.94665 1.0554 0.998976 14.9429 15 14.9704
0.0401922 15.9814 0.94317 1.05916 0.998835 14.9354 15 14.9664
0.042698 15.979 0.939699 1.06293 0.998685 14.9274 15 14.9621
0.0452038 15.9764 0.936236 1.06671 0.998526 14.919 15 14.9577
0.0477095 15.9737 0.932781 1.0705 0.998358 14.9102 15 14.9529
0.0502153 15.9709 0.929335 1.07431 0.998181 14.901 15 14.948
0.0527211 15.9679 0.925897 1.07812 0.997995 14.8913 15 14.9428
0.0552268 15.9648 0.922467 1.08194 0.9978 14.8813 15 14.9374
0.0577326 15.9615 0.919045 1.08577 0.997596 14.8709 15 14.9317
0.0602383 15.9581 0.915631 1.08961 0.997382 14.86 15 14.9258
0.0627441 15.9546 0.912225 1.09346 0.99716 14.8488 15 14.9197
0.0652499 15.9508 0.908827 1.09733 0.996928 14.8373 15 14.9133
0.0677556 15.947 0.905438 1.1012 0.996687 14.8253 15 14.9067
0.0702614 15.943 0.902056 1.10508 0.996437 14.813 15 14.8999
0.0727672 15.9389 0.898682 1.10897 0.996179 14.8003 15 14.8929
0.0752729 15.9346 0.895316 1.11288 0.995911 14.7873 15 14.8856
0.0777787 15.9301 0.891958 1.11679 0.995633 14.7739 15 14.8782
0.0802845 15.9256 0.888607 1.12072 0.995347 14.7601 15 14.8704
0.0827902 15.9208 0.885265 1.12465 0.995052 14.7461 15 14.8625
0.085296 15.916 0.88193 1.1286 0.994747 14.7316 15 14.8544
0.0878018 15.9109 0.878603 1.13256 0.994434 14.7169 15 14.846
0.0903075 15.9058 0.875283 1.13653 0.994111 14.7018 15 14.8374
0.0928133 15.9005 0.871971 1.14051 0.993779 14.6864 15 14.8286
0.095319 15.895 0.868667 1.1445 0.993438 14.6706 15 14.8196
0.0978248 15.8894 0.86537 1.1485 0.993088 14.6546 15 14.8104
0.100331 15.8837 0.862081 1.15251 0.992729 14.6382 15 14.801
0.102836 15.8778 0.858799 1.15653 0.99236 14.6216 15 14.7913
0.105342 15.8717 0.855525 1.16057 0.991982 14.6046 15 14.7815
0.107848 15.8655 0.852258 1.16462 0.991596 14.5873 15 14.7714
0.110354 15.8592 0.848998 1.16867 0.9912 14.5697 15 14.7611
0.112859 15.8527 0.845746 1.17274 0.990795 14.5519 15 14.7506
0.115365 15.8461 0.842501 1.17682 0.99038 14.5337 15 14.74
0.117871 15.8393 0.839264 1.18092 0.989957 14.5153 15 14.7291
0.120377 15.8324 0.836033 1.18502 0.989524 14.4965 15 14.718
0.122882 15.8253 0.83281 1.18914 0.989082 14.4776 15 14.7067
0.125388 15.8181 0.829594 1.19326 0.988631 14.4583 15 14.6952
0.127894 15.8107 0.826386 1.1974 0.988171 14.4387 15 14.6835
0.1304 15.8032 0.823184 1.20155 0.987702 14.4189 15 14.6716
0.132906 15.7956 0.819989 1.20572 0.987223 14.3989 15 14.6595
0.135411 15.7878 0.816802 1.20989 0.986735 14.3785 15 14.6472
0.137917 15.7798 0.813621 1.21408 0.986238 14.3579 15 14.6347
0.140423 15.7717 0.810448 1.21828 0.985732 14.3371 15 14.622
0.142929 15.7635 0.807281 1.22249 0.985216 14.316 15 14.6091
0.145434 15.7551 0.804122 1.22671 0.984691 14.2947 15 14.5961
0.14794 15.7465 0.800969 1.23095 0.984157 14.2731 15 14.5828
0.150446 15.7378 0.797823 1.2352 0.983614 14.2513 15 14.5693
0.152952 15.729 0.794684 1.23946 0.983061 14.2292 15 14.5557
0.155457 15.72 0.791552 1.24374 0.982499 14.2069 15 14.5418
0.157963 15.7108 0.788427 1.24802 0.981928 14.1844 15 14.5278
0.160469 15.7016 0.785308 1.25232 0.981348 14.1616 15 14.5136
0.162975 15.6921 0.782196 1.25663 0.980758 14.1387 15 14.4992
0.16548 15.6825 0.779091 1.26096 0.980159 14.1155 15 14.4846
0.167986 15.6728 0.775992 1.2653 0.97955 14.092 15 14.4698
0.170492 15.6629 0.772901 1.26965 0.978933 14.0684 15 14.4548
0.172998 15.6529 0.769815 1.27401 0.978306 14.0446 15 14.4396
0.175504 15.6427 0.766737 1.27839 0.977669 14.0205 15 14.4243
0.178009 15.6324 0.763664 1.28278 0.977023 13.9962 15 14.4088
0.180515 15.6219 0.760599 1.28719 0.976368 13.9717 15 14.3931
0.183021 15.6113 0.75754 1.29161 0.975704 13.947 15 14.3772
0.185527 15.6005 0.754487 1.29604 0.97503 13.9222 15 14.3611
0.188032 15.5895 0.751441 1.30048 0.974347 13.8971 15 14.3448
0.190538 15.5785 0.748401 1.30494 0.973654 13.8718 15 14.3284
0.193044 15.5672 0.745368 1.30942 0.972952 13.8463 15 14.3118
0.19555 15.5559 0.742341 1.3139 0.972241 13.8206 15 14.295
0.198055 15.5443 0.73932 1.3184 0.97152 13.7948 15 14.278
0.200561 15.5326 0.736306 1.32292 0.97079 13.7687 15 14.2609
0.203067 15.5208 0.733298 1.32745 0.97005 13.7425 15 14.2436
0.205573 15.5088 0.730296 1.33199 0.969301 13.7161 15 14.2261
0.208078 15.4967 0.7273 1.33655 0.968542 13.6895 15 14.2084
0.210584 15.4844 0.724311 1.34112 0.967774 13.6627 15 14.1905
0.21309 15.4719 0.721328 1.34571 0.966997 13.6357 15 14.1725
0.215596 15.4594 0.718351 1.35031 0.96621 13.6086 15 14.1543
0.218102 15.4466 0.71538 1.35492 0.965413 13.5813 15 14.1359
0.220607 15.4337 0.712415 1.35956 0.964607 13.5538 15 14.1174
0.223113 15.4207 0.709456 1.3642 0.963792 13.5262 15 14.0987
0.225619 15.4075 0.706504 1.36886 0.962967 13.4984 15 14.0798
0.228125 15.3941 0.703557 1.37354 0.962132 13.4704 15 14.0607
0.23063 15.3806 0.700616 1.37823 0.961288 13.4423 15 14.0415
0.233136 15.3669 0.697682 1.38294 0.960434 13.414 15 14.0221
0.235642 15.3531 0.694753 1.38766 0.959571 13.3855 15 14.0025
0.238148 15.3392 0.69183 1.39239 0.958698 13.3569 15 13.9828
0.240653 15.325 0.688913 1.39715 0.957815 13.3281 15 13.9629
0.243159 15.3108 0.686002 1.40192 0.956923 13.2992 15 13.9428
0.245665 15.2963 0.683097 1.4067 0.956021 13.2701 15 13.9226
0.248171 15.2818 0.680198 1.4115 0.95511 13.2409 15 13.9022
