t lev
0.03125000 10.74400399
0.06250000 9.24792407
0.09375000 7.88728028
0.12500000 6.80760190
0.15625000 5.98395305
0.18750000 5.35331912
0.21875000 4.86094678
0.25000000 4.46768605
0.28125000 4.14687699
0.31250000 3.88033343
0.34375000 3.65539993
0.37500000 3.46304873
0.40625000 3.29668117
0.43750000 3.15136604
0.46875000 3.02334530
0.50000000 2.90970499
0.53125000 2.80815098
0.56250000 2.71685245
0.59375000 2.63433059
0.62500000 2.55937787
0.65625000 2.49099856
0.68750000 2.42836425
0.71875000 2.37078011
0.75000000 2.31765902
0.78125000 2.26850148
0.81250000 2.22287984
0.84375000 2.18042584
0.87500000 2.14082064
0.90625000 2.10378681
0.93750000 2.06908179
0.96875000 2.03649262
1.00000000 2.00583153
