x e2 e4 e8 e12 sharp
0.015625 0.345542 0.413947 0.456928 0.472918 0.507812
0.03125 0.327188 0.397808 0.445349 0.463718 0.505208
0.046875 0.308222 0.381295 0.433581 0.454507 0.503348
0.0625 0.289593 0.364941 0.421855 0.445385 0.502083
0.078125 0.27194 0.349147 0.410363 0.43645 0.50126
0.09375 0.255614 0.334171 0.399236 0.427748 0.500744
0.109375 0.240743 0.320142 0.388553 0.419329 0.500431
0.125 0.22731 0.307093 0.37835 0.411203 0.500245
0.140625 0.215218 0.294998 0.368633 0.40337 0.500138
0.15625 0.204338 0.283802 0.359392 0.395828 0.500076
0.171875 0.19453 0.273432 0.350604 0.388569 0.500042
0.1875 0.185663 0.263815 0.342246 0.381577 0.500023
0.203125 0.177618 0.254879 0.334289 0.374842 0.500012
0.21875 0.170293 0.246558 0.326708 0.368345 0.500007
0.234375 0.163597 0.238795 0.319478 0.362082 0.500004
0.25 0.157454 0.231534 0.312576 0.356037 0.500002
0.265625 0.151801 0.224731 0.30598 0.350199 0.500001
0.28125 0.14658 0.218342 0.299671 0.344557 0.500001
0.296875 0.141744 0.212333 0.29363 0.339103 0.5
0.3125 0.137253 0.206669 0.28784 0.333826 0.5
0.328125 0.13307 0.201322 0.282287 0.328719 0.5
0.34375 0.129166 0.196267 0.276956 0.323774 0.5
0.359375 0.125513 0.191479 0.271834 0.318982 0.5
0.375 0.122087 0.186938 0.266908 0.314336 0.5
0.390625 0.118869 0.182626 0.262169 0.309831 0.5
0.40625 0.115839 0.178526 0.257604 0.30546 0.5
0.421875 0.112982 0.174623 0.253206 0.301217 0.5
0.4375 0.110284 0.170902 0.248965 0.297096 0.5
0.453125 0.107731 0.167351 0.244873 0.293093 0.5
0.46875 0.105312 0.163959 0.240921 0.289201 0.5
0.484375 0.103017 0.160715 0.237104 0.285418 0.5
0.5 0.100837 0.15761 0.233414 0.281738 0.5
0.515625 0.0987625 0.154636 0.229845 0.278156 0.5
0.53125 0.0967867 0.151783 0.22639 0.27467 0.5
0.546875 0.0949027 0.149045 0.223046 0.271275 0.5
0.5625 0.0931042 0.146415 0.219806 0.267968 0.5
0.578125 0.0913855 0.143887 0.216666 0.264746 0.5
0.59375 0.0897413 0.141454 0.21362 0.261604 0.5
0.609375 0.0881671 0.139112 0.210666 0.258541 0.5
0.625 0.0866583 0.136856 0.207798 0.255554 0.5
0.640625 0.0852109 0.134681 0.205014 0.252639 0.5
0.65625 0.0838214 0.132582 0.202309 0.249793 0.5
0.671875 0.0824863 0.130556 0.199681 0.247016 0.5
0.6875 0.0812025 0.128599 0.197125 0.244303 0.5
0.703125 0.079967 0.126708 0.194639 0.241654 0.5
0.71875 0.0787772 0.124879 0.192221 0.239065 0.5
0.734375 0.0776307 0.123109 0.189867 0.236535 0.5
0.75 0.076525 0.121396 0.187574 0.234061 0.5
0.765625 0.0754581 0.119736 0.185342 0.231642 0.5
0.78125 0.0744279 0.118128 0.183167 0.229276 0.5
0.796875 0.0734325 0.116568 0.181046 0.226962 0.5
0.8125 0.0724704 0.115055 0.178979 0.224697 0.5
0.828125 0.0715397 0.113587 0.176963 0.22248 0.5
0.84375 0.070639 0.112162 0.174996 0.220309 0.5
0.859375 0.0697668 0.110778 0.173076 0.218184 0.5
0.875 0.0689219 0.109432 0.171202 0.216102 0.5
0.890625 0.068103 0.108125 0.169372 0.214063 0.5
0.90625 0.0673088 0.106853 0.167585 0.212065 0.5
0.921875 0.0665383 0.105615 0.165838 0.210106 0.5
0.9375 0.0657905 0.104411 0.164132 0.208186 0.5
0.953125 0.0650643 0.103239 0.162463 0.206304 0.5
0.96875 0.0643588 0.102097 0.160832 0.204459 0.5
0.984375 0.0636732 0.100985 0.159237 0.202648 0.5
1 0.0630066 0.0999003 0.157676 0.200872 0.5
