x lev
0.00390625 2
0.0117188 2
0.0195312 2
0.0273438 2
0.0351562 2
0.0429688 2
0.0507812 2
0.0585938 2
0.0664062 2
0.0742188 2
0.0820312 2
0.0898438 2
0.0976562 2
0.105469 2
0.113281 2
0.121094 2
0.128906 2
0.136719 2
0.144531 2
0.152344 2
0.160156 2
0.167969 2
0.175781 2
0.183594 2
0.191406 2
0.199219 2
0.207031 2
0.214844 2
0.222656 2
0.230469 2
0.238281 2
0.246094 2
0.253906 2
0.261719 2
0.269531 2
0.277344 2
0.285156 2
0.292969 2
0.300781 2
0.308594 2
0.316406 2
0.324219 2
0.332031 2
0.339844 2
0.347656 2
0.355469 2
0.363281 2
0.371094 2
0.378906 2
0.386719 2
0.394531 2
0.402344 2
0.410156 2
0.417969 2
0.425781 2
0.433594 2
0.441406 2
0.449219 2
0.457031 2
0.464844 2
0.472656 2
0.480469 2
0.488281 2
0.496094 2
0.503906 2
0.511719 2
0.519531 2
0.527344 2
0.535156 2
0.542969 2
0.550781 2
0.558594 2
0.566406 2
0.574219 2
0.582031 2
0.589844 2
0.597656 2
0.605469 2
0.613281 2
0.621094 2
0.628906 2
0.636719 2
0.644531 2
0.652344 2
0.660156 2
0.667969 2
0.675781 2
0.683594 2
0.691406 2
0.699219 2
0.707031 2
0.714844 2
0.722656 2
0.730469 2
0.738281 2
0.746094 2
0.753906 2
0.761719 2
0.769531 2
0.777344 2
0.785156 2
0.792969 2
0.800781 2
0.808594 2
0.816406 2
0.824219 2
0.832031 2
0.839844 2
0.847656 2
0.855469 2
0.863281 2
0.871094 2
0.878906 2
0.886719 2
0.894531 2
0.902344 2
0.910156 2
0.917969 2
0.925781 2
0.933594 2
0.941406 2
0.949219 2
0.957031 2
0.964844 2
0.972656 2
0.980469 2
0.988281 2
0.996094 2
1 2
