x lev
0.0025 12.4794
0.005 6.73978
0.0075 4.8267
0.01 3.87039
0.0125 3.2969
0.015 2.91496
0.0175 2.64259
0.02 2.43882
0.0225 2.28091
0.025 2.1552
0.0275 2.05302
0.03 1.96858
0.0325 1.89789
0.035 1.83808
0.0375 1.78706
0.04 1.74327
0.0425 1.70548
0.045 1.67279
0.0475 1.64443
0.05 1.61981
0.0525 1.59846
0.055 1.57998
0.0575 1.56404
0.06 1.55036
0.0625 1.5387
0.065 1.52888
0.0675 1.5207
0.07 1.51404
0.0725 1.50874
0.075 1.5047
0.0775 1.50182
0.08 1.5
0.0825 1.49916
0.085 1.49923
0.0875 1.50013
0.09 1.50181
0.0925 1.50422
0.095 1.50729
0.0975 1.51099
0.1 1.51526
0.1025 1.52006
0.105 1.52536
0.1075 1.53113
0.11 1.53731
0.1125 1.5439
0.115 1.55084
0.1175 1.55812
0.12 1.56571
0.1225 1.57358
0.125 1.58171
0.1275 1.59008
0.13 1.59866
0.1325 1.60743
0.135 1.61637
0.1375 1.62547
0.14 1.63471
0.1425 1.64406
0.145 1.65351
0.1475 1.66306
0.15 1.67267
0.1525 1.68234
0.155 1.69205
0.1575 1.7018
0.16 1.71156
0.1625 1.72133
0.165 1.7311
0.1675 1.74085
0.17 1.75057
0.1725 1.76026
0.175 1.7699
0.1775 1.77949
0.18 1.78902
0.1825 1.79848
0.185 1.80786
0.1875 1.81716
0.19 1.82637
0.1925 1.83548
0.195 1.84448
0.1975 1.85338
0.2 1.86216
0.2025 1.87082
0.205 1.87936
0.2075 1.88777
0.21 1.89604
0.2125 1.90418
0.215 1.91218
0.2175 1.92004
0.22 1.92775
0.2225 1.93531
0.225 1.94273
0.2275 1.94998
0.23 1.95708
0.2325 1.96403
0.235 1.97081
0.2375 1.97744
0.24 1.9839
0.2425 1.9902
0.245 1.99634
0.2475 2.00231
0.25 2.00811
0.2525 2.01376
0.255 2.01923
0.2575 2.02454
0.26 2.02969
0.2625 2.03467
0.265 2.03948
0.2675 2.04413
0.27 2.04862
0.2725 2.05294
0.275 2.0571
0.2775 2.0611
0.28 2.06494
0.2825 2.06862
0.285 2.07215
0.2875 2.07551
0.29 2.07872
0.2925 2.08178
0.295 2.08468
0.2975 2.08744
0.3 2.09004
0.3025 2.0925
0.305 2.09481
0.3075 2.09698
0.31 2.09901
0.3125 2.10089
0.315 2.10264
0.3175 2.10426
0.32 2.10573
0.3225 2.10708
0.325 2.1083
0.3275 2.10939
0.33 2.11036
