x lev
0.015625 1.22918
0.03125 1.21313
0.046875 1.19855
0.0625 1.19966
0.078125 1.22184
0.09375 1.265
0.109375 1.32596
0.125 1.40012
0.140625 1.48257
0.15625 1.56867
0.171875 1.65447
0.1875 1.73676
0.203125 1.81312
0.21875 1.88189
0.234375 1.942
0.25 1.99296
0.265625 2.0347
0.28125 2.06747
0.296875 2.09179
0.3125 2.10835
0.328125 2.11796
0.34375 2.12146
0.359375 2.11975
0.375 2.11365
0.390625 2.10399
0.40625 2.09148
0.421875 2.0768
0.4375 2.06052
0.453125 2.04312
0.46875 2.02502
0.484375 2.00655
0.5 1.98798
0.515625 1.9695
0.53125 1.95127
0.546875 1.9334
0.5625 1.91597
0.578125 1.89902
0.59375 1.88257
0.609375 1.86664
0.625 1.85123
0.640625 1.83632
0.65625 1.82191
0.671875 1.80797
0.6875 1.79449
0.703125 1.78145
0.71875 1.76883
0.734375 1.75661
0.75 1.74477
0.765625 1.73329
0.78125 1.72216
0.796875 1.71137
0.8125 1.70089
0.828125 1.69071
0.84375 1.68083
0.859375 1.67123
0.875 1.66189
0.890625 1.65281
0.90625 1.64397
0.921875 1.63538
0.9375 1.627
0.953125 1.61885
0.96875 1.6109
0.984375 1.60316
1 1.59561
