x lev
0.0025 1.00002
0.005 1.00012
0.0075 1.0004
0.01 1.00093
0.0125 1.00177
0.015 1.00299
0.0175 1.00464
0.02 1.00675
0.0225 1.00939
0.025 1.01257
0.0275 1.01633
0.03 1.02069
0.0325 1.02567
0.035 1.0313
0.0375 1.03757
0.04 1.0445
0.0425 1.0521
0.045 1.06036
0.0475 1.06928
0.05 1.07886
0.0525 1.0891
0.055 1.09998
0.0575 1.1115
0.06 1.12364
0.0625 1.1364
0.065 1.14974
0.0675 1.16367
0.07 1.17816
0.0725 1.19319
0.075 1.20874
0.0775 1.2248
0.08 1.24135
0.0825 1.25836
0.085 1.27581
0.0875 1.29368
0.09 1.31195
0.0925 1.3306
0.095 1.3496
0.0975 1.36894
0.1 1.38859
0.1025 1.40853
0.105 1.42873
0.1075 1.44919
0.11 1.46987
0.1125 1.49076
0.115 1.51183
0.1175 1.53307
0.12 1.55445
0.1225 1.57596
0.125 1.59757
0.1275 1.61928
0.13 1.64105
0.1325 1.66288
0.135 1.68475
0.1375 1.70663
0.14 1.72852
0.1425 1.7504
0.145 1.77225
0.1475 1.79405
0.15 1.81581
0.1525 1.83749
0.155 1.85909
0.1575 1.88059
0.16 1.90199
0.1625 1.92326
0.165 1.94441
0.1675 1.96542
0.17 1.98627
0.1725 2.00696
0.175 2.02748
0.1775 2.04782
0.18 2.06798
0.1825 2.08794
0.185 2.10769
0.1875 2.12723
0.19 2.14655
0.1925 2.16565
0.195 2.18452
0.1975 2.20315
0.2 2.22154
0.2025 2.23968
0.205 2.25757
0.2075 2.2752
0.21 2.29257
0.2125 2.30968
0.215 2.32652
0.2175 2.34309
0.22 2.35939
0.2225 2.37541
0.225 2.39116
0.2275 2.40662
0.23 2.4218
0.2325 2.4367
0.235 2.45131
0.2375 2.46564
0.24 2.47968
0.2425 2.49343
0.245 2.5069
0.2475 2.52008
0.25 2.53297
0.2525 2.54557
0.255 2.55789
0.2575 2.56992
0.26 2.58166
0.2625 2.59312
0.265 2.60429
0.2675 2.61519
0.27 2.6258
0.2725 2.63613
0.275 2.64618
0.2775 2.65596
0.28 2.66547
0.2825 2.6747
0.285 2.68366
0.2875 2.69235
0.29 2.70078
0.2925 2.70895
0.295 2.71685
0.2975 2.7245
0.3 2.73189
0.3025 2.73903
0.305 2.74592
0.3075 2.75256
0.31 2.75896
0.3125 2.76512
0.315 2.77104
0.3175 2.77673
0.32 2.78218
0.3225 2.78741
0.325 2.79242
0.3275 2.7972
0.33 2.80176
0.3325 2.80612
0.335 2.81026
0.3375 2.81419
0.34 2.81792
0.3425 2.82144
0.345 2.82477
0.3475 2.82791
0.35 2.83086
0.3525 2.83362
0.355 2.8362
0.3575 2.8386
0.36 2.84083
0.3625 2.84288
0.365 2.84476
0.3675 2.84648
0.37 2.84804
0.3725 2.84944
0.375 2.85068
0.3775 2.85178
0.38 2.85272
0.3825 2.85353
0.385 2.85419
0.3875 2.85471
0.39 2.8551
0.3925 2.85536
0.395 2.8555
0.3975 2.85551
0.4 2.8554
0.4025 2.85517
0.405 2.85483
0.4075 2.85437
0.41 2.85381
0.4125 2.85314
0.415 2.85238
0.4175 2.85151
0.42 2.85054
0.4225 2.84949
0.425 2.84834
0.4275 2.84711
0.43 2.84579
0.4325 2.84439
0.435 2.84291
0.4375 2.84135
0.44 2.83972
0.4425 2.83802
0.445 2.83625
0.4475 2.83442
0.45 2.83252
0.4525 2.83055
0.455 2.82853
0.4575 2.82645
0.46 2.82432
0.4625 2.82213
0.465 2.8199
0.4675 2.81761
0.47 2.81528
0.4725 2.8129
0.475 2.81048
0.4775 2.80802
0.48 2.80552
0.4825 2.80299
0.485 2.80042
0.4875 2.79781
0.49 2.79517
0.4925 2.79251
0.495 2.78981
0.4975 2.78709
0.5 2.78434
0.5025 2.78156
0.505 2.77876
0.5075 2.77594
0.51 2.7731
0.5125 2.77025
0.515 2.76737
0.5175 2.76447
0.52 2.76157
0.5225 2.75864
0.525 2.7557
0.5275 2.75275
0.53 2.74979
0.5325 2.74682
0.535 2.74384
0.5375 2.74085
0.54 2.73785
0.5425 2.73485
0.545 2.73184
0.5475 2.72882
0.55 2.7258
0.5525 2.72278
0.555 2.71975
0.5575 2.71672
0.56 2.71369
0.5625 2.71066
0.565 2.70762
0.5675 2.70459
0.57 2.70156
0.5725 2.69853
0.575 2.69549
0.5775 2.69246
0.58 2.68944
0.5825 2.68641
0.585 2.68339
0.5875 2.68037
0.59 2.67736
0.5925 2.67435
0.595 2.67135
0.5975 2.66835
0.6 2.66535
0.6025 2.66236
0.605 2.65938
0.6075 2.6564
0.61 2.65343
0.6125 2.65046
0.615 2.6475
0.6175 2.64455
0.62 2.64161
0.6225 2.63867
0.625 2.63574
0.6275 2.63282
0.63 2.6299
0.6325 2.62699
0.635 2.62409
0.6375 2.6212
0.64 2.61832
0.6425 2.61544
0.645 2.61257
0.6475 2.60971
0.65 2.60686
0.6525 2.60402
0.655 2.60119
0.6575 2.59836
0.66 2.59555
0.6625 2.59274
0.665 2.58994
0.6675 2.58715
0.67 2.58437
0.6725 2.58159
0.675 2.57883
0.6775 2.57608
0.68 2.57333
0.6825 2.57059
0.685 2.56786
0.6875 2.56514
0.69 2.56243
0.6925 2.55973
0.695 2.55704
0.6975 2.55435
0.7 2.55168
0.7025 2.54901
0.705 2.54636
0.7075 2.54371
0.71 2.54107
0.7125 2.53843
0.715 2.53581
0.7175 2.5332
0.72 2.53059
0.7225 2.528
0.725 2.52541
0.7275 2.52283
0.73 2.52026
0.7325 2.5177
0.735 2.51514
0.7375 2.5126
0.74 2.51006
0.7425 2.50753
0.745 2.50501
0.7475 2.5025
0.75 2.5
0.7525 2.4975
0.755 2.49501
0.7575 2.49253
0.76 2.49006
0.7625 2.4876
0.765 2.48515
0.7675 2.4827
0.77 2.48026
0.7725 2.47783
0.775 2.47541
0.7775 2.47299
0.78 2.47059
0.7825 2.46819
0.785 2.4658
0.7875 2.46341
0.79 2.46104
0.7925 2.45867
0.795 2.45631
0.7975 2.45396
0.8 2.45161
0.8025 2.44928
0.805 2.44695
0.8075 2.44462
0.81 2.44231
0.8125 2.44
0.815 2.4377
0.8175 2.43541
0.82 2.43312
0.8225 2.43084
0.825 2.42857
0.8275 2.42631
0.83 2.42405
0.8325 2.4218
0.835 2.41956
0.8375 2.41732
0.84 2.41509
0.8425 2.41287
0.845 2.41066
0.8475 2.40845
0.85 2.40625
0.8525 2.40406
0.855 2.40187
0.8575 2.39969
0.86 2.39752
0.8625 2.39535
0.865 2.39319
0.8675 2.39104
0.87 2.38889
0.8725 2.38675
0.875 2.38462
0.8775 2.38249
0.88 2.38037
0.8825 2.37825
0.885 2.37615
0.8875 2.37405
0.89 2.37195
0.8925 2.36986
0.895 2.36778
0.8975 2.36571
0.9 2.36364
0.9025 2.36157
0.905 2.35952
0.9075 2.35747
0.91 2.35542
0.9125 2.35338
0.915 2.35135
0.9175 2.34933
0.92 2.34731
0.9225 2.34529
0.925 2.34328
0.9275 2.34128
0.93 2.33929
0.9325 2.3373
0.935 2.33531
0.9375 2.33333
0.94 2.33136
0.9425 2.32939
0.945 2.32743
0.9475 2.32548
0.95 2.32353
0.9525 2.32159
0.955 2.31965
0.9575 2.31772
0.96 2.31579
0.9625 2.31387
0.965 2.31195
0.9675 2.31004
0.97 2.30814
0.9725 2.30624
0.975 2.30435
0.9775 2.30246
0.98 2.30058
0.9825 2.2987
0.985 2.29683
0.9875 2.29496
0.99 2.2931
0.9925 2.29125
0.995 2.2894
0.9975 2.28755
1 2.28571
