x lev
0.000976562 1
0.0078125 1.00019
0.0146484 1.00189
0.0214844 1.00645
0.0283203 1.01487
0.0351562 1.02778
0.0419922 1.04557
0.0488281 1.0684
0.0556641 1.09624
0.0625 1.12893
0.0693359 1.16622
0.0761719 1.20775
0.0830078 1.25312
0.0898438 1.30192
0.0966797 1.35367
0.103516 1.40793
0.110352 1.46424
0.117188 1.52217
0.124023 1.58128
0.130859 1.64117
0.137695 1.70148
0.144531 1.76184
0.151367 1.82195
0.158203 1.8815
0.165039 1.94024
0.171875 1.99792
0.178711 2.05434
0.185547 2.10931
0.192383 2.16267
0.199219 2.21429
0.206055 2.26405
0.212891 2.31185
0.219727 2.35761
0.226562 2.40129
0.233398 2.44282
0.240234 2.48219
0.24707 2.51938
0.253906 2.55438
0.260742 2.58721
0.267578 2.61787
0.274414 2.6464
0.28125 2.67283
0.288086 2.6972
0.294922 2.71957
0.301758 2.73997
0.308594 2.75848
0.31543 2.77516
0.322266 2.79006
0.329102 2.80326
0.335938 2.81484
0.342773 2.82485
0.349609 2.83338
0.356445 2.84051
0.363281 2.84629
0.370117 2.85082
0.376953 2.85416
0.383789 2.85639
0.390625 2.85757
0.397461 2.85778
0.404297 2.85708
0.411133 2.85555
0.417969 2.85324
0.424805 2.85022
0.431641 2.84655
0.438477 2.84228
0.445312 2.83747
0.452148 2.83217
0.458984 2.82642
0.46582 2.82028
0.472656 2.81379
0.479492 2.80698
0.486328 2.79989
0.493164 2.79257
0.5 2.78504
0.506836 2.77733
0.513672 2.76946
0.520508 2.76148
0.527344 2.75339
0.53418 2.74522
0.541016 2.73699
0.547852 2.72871
0.554688 2.7204
0.561523 2.71208
0.568359 2.70376
0.575195 2.69544
0.582031 2.68714
0.588867 2.67886
0.595703 2.67062
0.602539 2.66241
0.609375 2.65425
0.616211 2.64614
0.623047 2.63809
0.629883 2.63009
0.636719 2.62215
0.643555 2.61426
0.650391 2.60645
0.657227 2.59869
0.664062 2.59101
0.670898 2.58339
0.677734 2.57583
0.68457 2.56834
0.691406 2.56092
0.698242 2.55357
0.705078 2.54628
0.711914 2.53905
0.71875 2.5319
0.725586 2.52481
0.732422 2.51778
0.739258 2.51081
0.746094 2.50391
0.75293 2.49707
0.759766 2.4903
0.766602 2.48358
0.773438 2.47692
0.780273 2.47032
0.787109 2.46379
0.793945 2.45731
0.800781 2.45088
0.807617 2.44451
0.814453 2.4382
0.821289 2.43195
0.828125 2.42574
0.834961 2.41959
0.841797 2.4135
0.848633 2.40745
0.855469 2.40146
0.862305 2.39552
0.869141 2.38963
0.875977 2.38378
0.882812 2.37799
0.889648 2.37225
0.896484 2.36655
0.90332 2.3609
0.910156 2.35529
0.916992 2.34974
0.923828 2.34422
0.930664 2.33876
0.9375 2.33333
0.944336 2.32795
0.951172 2.32262
0.958008 2.31732
0.964844 2.31207
0.97168 2.30686
0.978516 2.30169
0.985352 2.29657
0.992188 2.29148
0.999023 2.28643
1 2.28571
