x lev
0.000976562 1
0.0078125 1.00004
0.0146484 1.00017
0.0214844 1.0004
0.0283203 1.00071
0.0351562 1.00111
0.0419922 1.0016
0.0488281 1.00217
0.0556641 1.00283
0.0625 1.00357
0.0693359 1.00439
0.0761719 1.00529
0.0830078 1.00627
0.0898438 1.00732
0.0966797 1.00845
0.103516 1.00966
0.110352 1.01093
0.117188 1.01228
0.124023 1.0137
0.130859 1.01518
0.137695 1.01674
0.144531 1.01835
0.151367 1.02004
0.158203 1.02178
0.165039 1.02359
0.171875 1.02545
0.178711 1.02738
0.185547 1.02936
0.192383 1.0314
0.199219 1.03349
0.206055 1.03564
0.212891 1.03784
0.219727 1.04009
0.226562 1.04239
0.233398 1.04474
0.240234 1.04713
0.24707 1.04957
0.253906 1.05206
0.260742 1.05458
0.267578 1.05715
0.274414 1.05977
0.28125 1.06242
0.288086 1.0651
0.294922 1.06783
0.301758 1.07059
0.308594 1.07339
0.31543 1.07621
0.322266 1.07908
0.329102 1.08197
0.335938 1.08489
0.342773 1.08784
0.349609 1.09082
0.356445 1.09383
0.363281 1.09686
0.370117 1.09991
0.376953 1.10299
0.383789 1.10609
0.390625 1.10921
0.397461 1.11235
0.404297 1.11551
0.411133 1.11868
0.417969 1.12187
0.424805 1.12508
0.431641 1.1283
0.438477 1.13154
0.445312 1.13479
0.452148 1.13804
0.458984 1.14131
0.46582 1.14459
0.472656 1.14787
0.479492 1.15117
0.486328 1.15446
0.493164 1.15776
0.5 1.16107
0.506836 1.16438
0.513672 1.16769
0.520508 1.171
0.527344 1.17431
0.53418 1.17762
0.541016 1.18092
0.547852 1.18422
0.554688 1.18752
0.561523 1.19081
0.568359 1.1941
0.575195 1.19737
0.582031 1.20064
0.588867 1.2039
0.595703 1.20715
0.602539 1.21038
0.609375 1.2136
0.616211 1.21681
0.623047 1.22
0.629883 1.22318
0.636719 1.22634
0.643555 1.22948
0.650391 1.2326
0.657227 1.2357
0.664062 1.23878
0.670898 1.24183
0.677734 1.24486
0.68457 1.24787
0.691406 1.25085
0.698242 1.2538
0.705078 1.25672
0.711914 1.25962
0.71875 1.26248
0.725586 1.26531
0.732422 1.2681
0.739258 1.27086
0.746094 1.27358
0.75293 1.27627
0.759766 1.27892
0.766602 1.28152
0.773438 1.28409
0.780273 1.28661
0.787109 1.28908
0.793945 1.29151
0.800781 1.29389
0.807617 1.29622
0.814453 1.2985
0.821289 1.30073
0.828125 1.30291
0.834961 1.30502
0.841797 1.30708
0.848633 1.30908
0.855469 1.31102
0.862305 1.31289
0.869141 1.3147
0.875977 1.31644
0.882812 1.31811
0.889648 1.31971
0.896484 1.32123
0.90332 1.32268
0.910156 1.32405
0.916992 1.32533
0.923828 1.32653
0.930664 1.32765
0.9375 1.32867
0.944336 1.32961
0.951172 1.33044
0.958008 1.33118
0.964844 1.33181
0.97168 1.33234
0.978516 1.33276
0.985352 1.33307
0.992188 1.33326
0.999023 1.33333
1 1.33333
