x lev
0.0025 1.04516
0.005 1.04572
0.0075 1.0463
0.01 1.04688
0.0125 1.04746
0.015 1.04805
0.0175 1.04865
0.02 1.04926
0.0225 1.04987
0.025 1.05049
0.0275 1.05112
0.03 1.05175
0.0325 1.05239
0.035 1.05303
0.0375 1.05368
0.04 1.05434
0.0425 1.05501
0.045 1.05568
0.0475 1.05635
0.05 1.05703
0.0525 1.05772
0.055 1.05842
0.0575 1.05912
0.06 1.05982
0.0625 1.06054
0.065 1.06125
0.0675 1.06198
0.07 1.06271
0.0725 1.06344
0.075 1.06418
0.0775 1.06493
0.08 1.06568
0.0825 1.06644
0.085 1.0672
0.0875 1.06797
0.09 1.06875
0.0925 1.06953
0.095 1.07031
0.0975 1.0711
0.1 1.0719
0.1025 1.0727
0.105 1.0735
0.1075 1.07431
0.11 1.07513
0.1125 1.07595
0.115 1.07677
0.1175 1.0776
0.12 1.07844
0.1225 1.07928
0.125 1.08013
0.1275 1.08098
0.13 1.08183
0.1325 1.08269
0.135 1.08355
0.1375 1.08442
0.14 1.08529
0.1425 1.08617
0.145 1.08705
0.1475 1.08794
0.15 1.08883
0.1525 1.08973
0.155 1.09063
0.1575 1.09153
0.16 1.09244
0.1625 1.09335
0.165 1.09427
0.1675 1.09519
0.17 1.09611
0.1725 1.09704
0.175 1.09797
0.1775 1.09891
0.18 1.09985
0.1825 1.10079
0.185 1.10174
0.1875 1.10269
0.19 1.10365
0.1925 1.1046
0.195 1.10557
0.1975 1.10653
0.2 1.1075
0.2025 1.10848
0.205 1.10945
0.2075 1.11043
0.21 1.11142
0.2125 1.1124
0.215 1.11339
0.2175 1.11439
0.22 1.11538
0.2225 1.11638
0.225 1.11739
0.2275 1.11839
0.23 1.1194
0.2325 1.12042
0.235 1.12143
0.2375 1.12245
0.24 1.12347
0.2425 1.12449
0.245 1.12552
0.2475 1.12655
0.25 1.12758
0.2525 1.12862
0.255 1.12966
0.2575 1.1307
0.26 1.13174
0.2625 1.13279
0.265 1.13384
0.2675 1.13489
0.27 1.13594
0.2725 1.137
0.275 1.13806
0.2775 1.13912
0.28 1.14018
0.2825 1.14125
0.285 1.14231
0.2875 1.14338
0.29 1.14446
0.2925 1.14553
0.295 1.14661
0.2975 1.14768
0.3 1.14876
0.3025 1.14985
0.305 1.15093
0.3075 1.15202
0.31 1.15311
0.3125 1.1542
0.315 1.15529
0.3175 1.15638
0.32 1.15748
0.3225 1.15857
0.325 1.15967
0.3275 1.16077
0.33 1.16188
0.3325 1.16298
0.335 1.16408
0.3375 1.16519
0.34 1.1663
0.3425 1.16741
0.345 1.16852
0.3475 1.16963
0.35 1.17074
0.3525 1.17186
0.355 1.17297
0.3575 1.17409
0.36 1.17521
0.3625 1.17633
0.365 1.17745
0.3675 1.17857
0.37 1.17969
0.3725 1.18082
0.375 1.18194
0.3775 1.18307
0.38 1.18419
0.3825 1.18532
0.385 1.18645
0.3875 1.18758
0.39 1.18871
0.3925 1.18984
0.395 1.19097
0.3975 1.1921
0.4 1.19323
0.4025 1.19437
0.405 1.1955
0.4075 1.19663
0.41 1.19777
0.4125 1.1989
0.415 1.20004
0.4175 1.20117
0.42 1.20231
0.4225 1.20344
0.425 1.20458
0.4275 1.20572
0.43 1.20685
0.4325 1.20799
0.435 1.20913
0.4375 1.21027
0.44 1.2114
0.4425 1.21254
0.445 1.21368
0.4475 1.21481
0.45 1.21595
0.4525 1.21709
0.455 1.21822
0.4575 1.21936
0.46 1.2205
0.4625 1.22163
0.465 1.22277
0.4675 1.22391
0.47 1.22504
0.4725 1.22618
0.475 1.22731
0.4775 1.22844
0.48 1.22958
0.4825 1.23071
0.485 1.23184
0.4875 1.23297
0.49 1.2341
0.4925 1.23523
0.495 1.23636
0.4975 1.23749
0.5 1.23862
0.5025 1.23975
0.505 1.24088
0.5075 1.242
0.51 1.24313
0.5125 1.24425
0.515 1.24537
0.5175 1.24649
0.52 1.24761
0.5225 1.24873
0.525 1.24985
0.5275 1.25097
0.53 1.25209
0.5325 1.2532
0.535 1.25431
0.5375 1.25543
0.54 1.25654
0.5425 1.25765
0.545 1.25876
0.5475 1.25986
0.55 1.26097
0.5525 1.26207
0.555 1.26317
0.5575 1.26427
0.56 1.26537
0.5625 1.26647
0.565 1.26757
0.5675 1.26866
0.57 1.26975
0.5725 1.27084
0.575 1.27193
0.5775 1.27302
0.58 1.2741
0.5825 1.27519
0.585 1.27627
0.5875 1.27735
0.59 1.27842
0.5925 1.2795
0.595 1.28057
0.5975 1.28164
0.6 1.28271
0.6025 1.28377
0.605 1.28484
0.6075 1.2859
0.61 1.28696
0.6125 1.28802
0.615 1.28907
0.6175 1.29012
0.62 1.29117
0.6225 1.29222
0.625 1.29326
0.6275 1.2943
0.63 1.29534
0.6325 1.29638
0.635 1.29741
0.6375 1.29844
0.64 1.29947
0.6425 1.30049
0.645 1.30152
0.6475 1.30254
0.65 1.30355
0.6525 1.30456
0.655 1.30557
0.6575 1.30658
0.66 1.30759
0.6625 1.30859
0.665 1.30958
0.6675 1.31058
0.67 1.31157
0.6725 1.31256
0.675 1.31354
0.6775 1.31452
0.68 1.3155
0.6825 1.31647
0.685 1.31744
0.6875 1.31841
0.69 1.31937
0.6925 1.32033
0.695 1.32128
0.6975 1.32224
0.7 1.32318
0.7025 1.32413
0.705 1.32507
0.7075 1.326
0.71 1.32693
0.7125 1.32786
0.715 1.32879
0.7175 1.32971
0.72 1.33062
0.7225 1.33153
0.725 1.33244
0.7275 1.33334
0.73 1.33424
0.7325 1.33513
0.735 1.33602
0.7375 1.33691
0.74 1.33779
0.7425 1.33866
0.745 1.33953
0.7475 1.3404
0.75 1.34126
0.7525 1.34212
0.755 1.34297
0.7575 1.34381
0.76 1.34465
0.7625 1.34549
0.765 1.34632
0.7675 1.34715
0.77 1.34797
0.7725 1.34878
0.775 1.34959
0.7775 1.3504
0.78 1.3512
0.7825 1.35199
0.785 1.35278
0.7875 1.35356
0.79 1.35434
0.7925 1.35511
0.795 1.35588
0.7975 1.35664
0.8 1.35739
0.8025 1.35814
0.805 1.35888
0.8075 1.35961
0.81 1.36034
0.8125 1.36107
0.815 1.36178
0.8175 1.36249
0.82 1.3632
0.8225 1.36389
0.825 1.36458
0.8275 1.36527
0.83 1.36595
0.8325 1.36662
0.835 1.36728
0.8375 1.36794
0.84 1.36859
0.8425 1.36923
0.845 1.36987
0.8475 1.37049
0.85 1.37112
0.8525 1.37173
0.855 1.37234
0.8575 1.37293
0.86 1.37353
0.8625 1.37411
0.865 1.37469
0.8675 1.37525
0.87 1.37581
0.8725 1.37637
0.875 1.37691
0.8775 1.37745
0.88 1.37797
0.8825 1.37849
0.885 1.379
0.8875 1.37951
0.89 1.38
0.8925 1.38049
0.895 1.38096
0.8975 1.38143
0.9 1.38189
0.9025 1.38234
0.905 1.38278
0.9075 1.38321
0.91 1.38363
0.9125 1.38404
0.915 1.38445
0.9175 1.38484
0.92 1.38522
0.9225 1.3856
0.925 1.38596
0.9275 1.38631
0.93 1.38666
0.9325 1.38699
0.935 1.38731
0.9375 1.38763
0.94 1.38793
0.9425 1.38822
0.945 1.3885
0.9475 1.38877
0.95 1.38902
0.9525 1.38927
0.955 1.38951
0.9575 1.38973
0.96 1.38994
0.9625 1.39014
0.965 1.39033
0.9675 1.39051
0.97 1.39067
0.9725 1.39082
0.975 1.39096
0.9775 1.39109
0.98 1.3912
0.9825 1.3913
0.985 1.39139
0.9875 1.39147
0.99 1.39153
0.9925 1.39158
0.995 1.39161
0.9975 1.39163
1 1.39164
