in_000,in_001,in_010,in_011,in_100,in_101,in_110,in_111,circuit_complexity
00,00,00,00,00,00,00,00,0
01,00,00,00,00,00,00,00,2
00,01,00,00,00,00,00,00,2
01,01,00,00,00,00,00,00,1
00,00,01,00,00,00,00,00,2
01,00,01,00,00,00,00,00,1
00,01,01,00,00,00,00,00,4
01,01,01,00,00,00,00,00,2
00,00,00,01,00,00,00,00,2
01,00,00,01,00,00,00,00,4
00,01,00,01,00,00,00,00,1
01,01,00,01,00,00,00,00,2
00,00,01,01,00,00,00,00,1
01,00,01,01,00,00,00,00,2
00,01,01,01,00,00,00,00,2
01,01,01,01,00,00,00,00,0
00,00,00,00,01,00,00,00,2
01,00,00,00,01,00,00,00,1
00,01,00,00,01,00,00,00,4
01,01,00,00,01,00,00,00,2
00,00,01,00,01,00,00,00,4
01,00,01,00,01,00,00,00,2
00,01,01,00,01,00,00,00,6
01,01,01,00,01,00,00,00,4
00,00,00,01,01,00,00,00,5
01,00,00,01,01,00,00,00,4
00,01,00,01,01,00,00,00,4
01,01,00,01,01,00,00,00,3
00,00,01,01,01,00,00,00,4
01,00,01,01,01,00,00,00,3
00,01,01,01,01,00,00,00,4
01,01,01,01,01,00,00,00,2
00,00,00,00,00,01,00,00,2
01,00,00,00,00,01,00,00,4
00,01,00,00,00,01,00,00,1
01,01,00,00,00,01,00,00,2
00,00,01,00,00,01,00,00,5
01,00,01,00,00,01,00,00,4
00,01,01,00,00,01,00,00,4
01,01,01,00,00,01,00,00,3
00,00,00,01,00,01,00,00,4
01,00,00,01,00,01,00,00,6
00,01,00,01,00,01,00,00,2
01,01,00,01,00,01,00,00,4
00,00,01,01,00,01,00,00,4
01,00,01,01,00,01,00,00,4
00,01,01,01,00,01,00,00,3
01,01,01,01,00,01,00,00,2
00,00,00,00,01,01,00,00,1
01,00,00,00,01,01,00,00,2
00,01,00,00,01,01,00,00,2
01,01,00,00,01,01,00,00,0
00,00,01,00,01,01,00,00,4
01,00,01,00,01,01,00,00,3
00,01,01,00,01,01,00,00,4
01,01,01,00,01,01,00,00,2
00,00,00,01,01,01,00,00,4
01,00,00,01,01,01,00,00,4
00,01,00,01,01,01,00,00,3
01,01,00,01,01,01,00,00,2
00,00,01,01,01,01,00,00,3
01,00,01,01,01,01,00,00,4
00,01,01,01,01,01,00,00,4
01,01,01,01,01,01,00,00,1
00,00,00,00,00,00,01,00,2
01,00,00,00,00,00,01,00,4
00,01,00,00,00,00,01,00,5
01,01,00,00,00,00,01,00,4
00,00,01,00,00,00,01,00,1
01,00,01,00,00,00,01,00,2
00,01,01,00,00,00,01,00,4
01,01,01,00,00,00,01,00,3
00,00,00,01,00,00,01,00,4
01,00,00,01,00,00,01,00,6
00,01,00,01,00,00,01,00,4
01,01,00,01,00,00,01,00,4
00,00,01,01,00,00,01,00,2
01,00,01,01,00,00,01,00,4
00,01,01,01,00,00,01,00,3
01,01,01,01,00,00,01,00,2
00,00,00,00,01,00,01,00,1
01,00,00,00,01,00,01,00,2
00,01,00,00,01,00,01,00,4
01,01,00,00,01,00,01,00,3
00,00,01,00,01,00,01,00,2
01,00,01,00,01,00,01,00,0
00,01,01,00,01,00,01,00,4
01,01,01,00,01,00,01,00,2
00,00,00,01,01,00,01,00,4
01,00,00,01,01,00,01,00,4
00,01,00,01,01,00,01,00,3
01,01,00,01,01,00,01,00,4
00,00,01,01,01,00,01,00,3
01,00,01,01,01,00,01,00,2
00,01,01,01,01,00,01,00,4
01,01,01,01,01,00,01,00,1
00,00,00,00,00,01,01,00,4
01,00,00,00,00,01,01,00,6
00,01,00,00,00,01,01,00,4
01,01,00,00,00,01,01,00,4
00,00,01,00,00,01,01,00,4
01,00,01,00,00,01,01,00,4
00,01,01,00,00,01,01,00,3
01,01,01,00,00,01,01,00,4
00,00,00,01,00,01,01,00,6
01,00,00,01,00,01,01,00,6
00,01,00,01,00,01,01,00,4
01,01,00,01,00,01,01,00,6
00,00,01,01,00,01,01,00,4
01,00,01,01,00,01,01,00,6
00,01,01,01,00,01,01,00,4
01,01,01,01,00,01,01,00,4
00,00,00,00,01,01,01,00,2
01,00,00,00,01,01,01,00,4
00,01,00,00,01,01,01,00,3
01,01,00,00,01,01,01,00,2
00,00,01,00,01,01,01,00,3
01,00,01,00,01,01,01,00,2
00,01,01,00,01,01,01,00,4
01,01,01,00,01,01,01,00,1
00,00,00,01,01,01,01,00,4
01,00,00,01,01,01,01,00,6
00,01,00,01,01,01,01,00,4
01,01,00,01,01,01,01,00,4
00,00,01,01,01,01,01,00,4
01,00,01,01,01,01,01,00,4
00,01,01,01,01,01,01,00,5
01,01,01,01,01,01,01,00,2
00,00,00,00,00,00,00,01,2
01,00,00,00,00,00,00,01,5
00,01,00,00,00,00,00,01,4
01,01,00,00,00,00,00,01,4
00,00,01,00,00,00,00,01,4
01,00,01,00,00,00,00,01,4
00,01,01,00,00,00,00,01,6
01,01,01,00,00,00,00,01,4
00,00,00,01,00,00,00,01,1
01,00,00,01,00,00,00,01,4
00,01,00,01,00,00,00,01,2
01,01,00,01,00,00,00,01,3
00,00,01,01,00,00,00,01,2
01,00,01,01,00,00,00,01,3
00,01,01,01,00,00,00,01,4
01,01,01,01,00,00,00,01,2
00,00,00,00,01,00,00,01,4
01,00,00,00,01,00,00,01,4
00,01,00,00,01,00,00,01,6
01,01,00,00,01,00,00,01,4
00,00,01,00,01,00,00,01,6
01,00,01,00,01,00,00,01,4
00,01,01,00,01,00,00,01,6
01,01,01,00,01,00,00,01,6
00,00,00,01,01,00,00,01,4
01,00,00,01,01,00,00,01,3
00,01,00,01,01,00,00,01,4
01,01,00,01,01,00,00,01,4
00,00,01,01,01,00,00,01,4
01,00,01,01,01,00,00,01,4
00,01,01,01,01,00,00,01,6
01,01,01,01,01,00,00,01,4
00,00,00,00,00,01,00,01,1
01,00,00,00,00,01,00,01,4
00,01,00,00,00,01,00,01,2
01,01,00,00,00,01,00,01,3
00,00,01,00,00,01,00,01,4
01,00,01,00,00,01,00,01,3
00,01,01,00,00,01,00,01,4
01,01,01,00,00,01,00,01,4
00,00,00,01,00,01,00,01,2
01,00,00,01,00,01,00,01,4
00,01,00,01,00,01,00,01,0
01,01,00,01,00,01,00,01,2
00,00,01,01,00,01,00,01,3
01,00,01,01,00,01,00,01,4
00,01,01,01,00,01,00,01,2
01,01,01,01,00,01,00,01,1
00,00,00,00,01,01,00,01,2
01,00,00,00,01,01,00,01,3
00,01,00,00,01,01,00,01,4
01,01,00,00,01,01,00,01,2
00,00,01,00,01,01,00,01,4
01,00,01,00,01,01,00,01,4
00,01,01,00,01,01,00,01,6
01,01,01,00,01,01,00,01,4
00,00,00,01,01,01,00,01,3
01,00,00,01,01,01,00,01,4
00,01,00,01,01,01,00,01,2
01,01,00,01,01,01,00,01,1
00,00,01,01,01,01,00,01,4
01,00,01,01,01,01,00,01,5
00,01,01,01,01,01,00,01,4
01,01,01,01,01,01,00,01,2
00,00,00,00,00,00,01,01,1
01,00,00,00,00,00,01,01,4
00,01,00,00,00,00,01,01,4
01,01,00,00,00,00,01,01,3
00,00,01,00,00,00,01,01,2
01,00,01,00,00,00,01,01,3
00,01,01,00,00,00,01,01,4
01,01,01,00,00,00,01,01,4
00,00,00,01,00,00,01,01,2
01,00,00,01,00,00,01,01,4
00,01,00,01,00,00,01,01,3
01,01,00,01,00,00,01,01,4
00,00,01,01,00,00,01,01,0
01,00,01,01,00,00,01,01,2
00,01,01,01,00,00,01,01,2
01,01,01,01,00,00,01,01,1
00,00,00,00,01,00,01,01,2
01,00,00,00,01,00,01,01,3
00,01,00,00,01,00,01,01,4
01,01,00,00,01,00,01,01,4
00,00,01,00,01,00,01,01,4
01,00,01,00,01,00,01,01,2
00,01,01,00,01,00,01,01,6
01,01,01,00,01,00,01,01,4
00,00,00,01,01,00,01,01,3
01,00,00,01,01,00,01,01,4
00,01,00,01,01,00,01,01,4
01,01,00,01,01,00,01,01,5
00,00,01,01,01,00,01,01,2
01,00,01,01,01,00,01,01,1
00,01,01,01,01,00,01,01,4
01,01,01,01,01,00,01,01,2
00,00,00,00,00,01,01,01,2
01,00,00,00,00,01,01,01,4
00,01,00,00,00,01,01,01,3
01,01,00,00,00,01,01,01,4
00,00,01,00,00,01,01,01,3
01,00,01,00,00,01,01,01,4
00,01,01,00,00,01,01,01,4
01,01,01,00,00,01,01,01,5
00,00,00,01,00,01,01,01,4
01,00,00,01,00,01,01,01,6
00,01,00,01,00,01,01,01,2
